"Monat";"reale Originalwerte";"real Kalender- und saisonbereinigt (X13 JDemetra+)";"nominale Originalwerte";"nominal Kalender- und saisonbereinigt (X13 JDemetra+)"
"2017-01";82,6;101,4;84,7;104,3
"2017-02";83,3;102,5;85,9;105,9
"2017-03";97,5;104,1;100,6;107,6
"2017-04";99,2;102,7;102,5;106,2
"2017-05";110,1;103,3;114,3;107,1
"2017-06";109,2;102,2;113,7;106,1
"2017-07";113;102,4;118;106,8
"2017-08";109,5;100,6;114,3;105,1
"2017-09";114,5;102,4;120,5;107,1
"2017-10";109;102,2;114,4;106,9
"2017-11";95,6;102,2;100,1;107,1
"2017-12";105,1;103,8;110,2;109,2
"2018-01";85,4;105,3;89,6;110,8
"2018-02";84,2;103,7;88,7;109,5
"2018-03";96,1;101,6;101,5;107,6
"2018-04";102,4;106,3;108,4;112,6
"2018-05";108,3;102;115;108,2
"2018-06";111;102,7;118,4;109,3
"2018-07";113,2;103,3;120,5;109,8
"2018-08";112,2;102,4;119,5;109
"2018-09";116;104,1;124,5;111,1
"2018-10";110;103,3;117,9;110,4
"2018-11";99,8;106,2;106,8;113,8
"2018-12";106,6;105,8;114;113,5
"2019-01";86;106,7;91,9;114,4
"2019-02";87,7;108,2;94,1;116,4
"2019-03";99,9;105,4;107,2;113,4
"2019-04";101,4;105,4;109,8;114,3
"2019-05";109,7;102,5;119,8;111,9
"2019-06";112;103,7;122,6;113,2
"2019-07";112,3;102,6;122,6;111,8
"2019-08";113,1;102,3;123,5;111,6
"2019-09";114,2;102,7;125,6;112,3
"2019-10";111,1;104,9;122,2;115,1
"2019-11";101,8;107,5;111,9;118,4
"2019-12";106,7;107,1;117,2;118,1
"2020-01";86,5;107;95;117,9
"2020-02";88,4;105,9;97,3;116,9
"2020-03";54,7;58,1;60,2;64,2
"2020-04";25,5;26,6;28,2;29,5
"2020-05";40,4;37,4;44,9;41,5
"2020-06";66;61,1;73,4;67,8
"2020-07";84,8;77,4;98,2;89,4
"2020-08";90,2;81,6;104,4;94,3
"2020-09";89;80,5;102,9;92,5
"2020-10";77,2;71,9;89,3;83
"2020-11";33,3;35,5;38,4;41
"2020-12";31,2;31,7;36;36,7
"2021-01";32,2;39,5;36,7;45,2
"2021-02";31,8;39,3;36,2;44,9
"2021-03";38,3;40,7;43,6;46,5
"2021-04";36,4;37,9;41,5;43,3
"2021-05";45,8;42,3;52,5;48,5
"2021-06";70,7;65,6;82,1;76
"2021-07";86,3;78,2;100,6;90,8
"2021-08";90,6;82,5;105,9;96,2
"2021-09";91,6;82,8;106,9;96
"2021-10";91,1;84,7;106,7;99
"2021-11";75,4;80,4;88,2;94,3
"2021-12";65,3;66,2;76,7;78,1
"2022-01";62;76,4;73,3;90,6
"2022-02";65,2;80,7;77,5;96,2
"2022-03";77,1;82,2;92,1;98,6
"2022-04";90,3;93,4;109,1;113,1
"2022-05";105;97,5;128,4;119,2
"2022-06";105,7;97,8;130,8;120,7
"2022-07";108,7;98,5;136,5;123,1
"2022-08";106,3;96,8;133,9;121,6
"2022-09";104,1;93,4;133,2;118,8
"2022-10";101,7;94,5;130;120,6
"2022-11";87,1;93,4;111,5;119,9
"2022-12";89,9;90,8;115,4;117,1
"2023-01";74,8;93,1;97,2;121,2
"2023-02";76;94,1;99,1;123,1
"2023-03";87;92,2;114,3;121,6
"2023-04";91,4;95,1;120,7;125,8
"2023-05";101,9;94,5;135,6;125,8
"2023-06";103,6;95,1;138,9;127,2
"2023-07";104,2;94,4;139,8;126,1
"2023-08";99,8;91,2;133,6;121,7
"2023-09";106,2;94,6;143,5;127
"2023-10";98,4;92,1;132,9;124,2
"2023-11";85,9;92,1;116,1;124,9
"2023-12";91;92,2;122,9;125,1
"2024-01";73,9;92,4;98,7;123,6
"2024-02";77,4;93,7;103,8;126,1
"2024-03";88;92,3;118,9;125,2
"2024-04";88,5;92,5;121;126,8
