"Monat";"Lkw-Maut-Fahrleistungsindex";"Produktionsindex Verarbeitendes Gewerbe"
"2015-01-01 01:00:00";98,4;98,5
"2015-02-01 01:00:00";98,1;99,3
"2015-03-01 01:00:00";98,6;99,2
"2015-04-01 02:00:00";98,3;100,1
"2015-05-01 02:00:00";100,2;100,5
"2015-06-01 02:00:00";99,5;100,2
"2015-07-01 02:00:00";100,4;101,6
"2015-08-01 02:00:00";100,1;99,1
"2015-09-01 02:00:00";100,6;99,2
"2015-10-01 02:00:00";100,1;100,3
"2015-11-01 01:00:00";100,3;99
"2015-12-01 01:00:00";102,3;99,7
"2016-01-01 01:00:00";102,8;101,3
"2016-02-01 01:00:00";103,6;101,2
"2016-03-01 01:00:00";103,2;100,2
"2016-04-01 02:00:00";104;101
"2016-05-01 02:00:00";103,2;99,1
"2016-06-01 02:00:00";103;101,2
"2016-07-01 02:00:00";103,3;99,7
"2016-08-01 02:00:00";104,4;101,3
"2016-09-01 02:00:00";104,3;101
"2016-10-01 02:00:00";105,7;101,8
"2016-11-01 01:00:00";106,1;101,5
"2016-12-01 01:00:00";104,7;99,2
"2017-01-01 01:00:00";103,7;100,9
"2017-02-01 01:00:00";106,9;102
"2017-03-01 01:00:00";106,6;101,6
"2017-04-01 02:00:00";108,3;103,2
"2017-05-01 02:00:00";108,8;103,3
"2017-06-01 02:00:00";108,4;103,3
"2017-07-01 02:00:00";108,9;104,1
"2017-08-01 02:00:00";110,4;106,3
"2017-09-01 02:00:00";110,7;105,4
"2017-10-01 02:00:00";110,3;103,8
"2017-11-01 01:00:00";112,5;107,6
"2017-12-01 01:00:00";110,2;106,9
"2018-01-01 01:00:00";111,7;106,5
"2018-02-01 01:00:00";110,5;104,3
"2018-03-01 01:00:00";110,2;105,9
"2018-04-01 02:00:00";110,2;105,5
"2018-05-01 02:00:00";113,4;107,2
"2018-06-01 02:00:00";111,9;106,7
"2018-07-01 02:00:00";111,6;104,6
"2018-08-01 02:00:00";112,2;105,8
"2018-09-01 02:00:00";112,9;105
"2018-10-01 02:00:00";113,2;104,9
"2018-11-01 01:00:00";113;102,9
"2018-12-01 01:00:00";114,6;103,9
"2019-01-01 01:00:00";114,3;103,7
"2019-02-01 01:00:00";112,9;103,3
"2019-03-01 01:00:00";113,9;104,4
"2019-04-01 02:00:00";113,2;103
"2019-05-01 02:00:00";111,8;103,5
"2019-06-01 02:00:00";112,4;102,3
"2019-07-01 02:00:00";113;101,9
"2019-08-01 02:00:00";112,1;102,3
"2019-09-01 02:00:00";111,8;101,3
"2019-10-01 02:00:00";111,9;100,6
"2019-11-01 01:00:00";111,8;100,8
"2019-12-01 01:00:00";111,4;98,4
"2020-01-01 01:00:00";113,7;101,6
"2020-02-01 01:00:00";114,8;102,4
"2020-03-01 01:00:00";108,9;91,5
"2020-04-01 02:00:00";97,7;71,2
"2020-05-01 02:00:00";103,8;79,8
"2020-06-01 02:00:00";108,2;89,2
"2020-07-01 02:00:00";110,9;91,5
"2020-08-01 02:00:00";112,5;90,9
"2020-09-01 02:00:00";113,3;93,4
"2020-10-01 02:00:00";113,1;97,1
"2020-11-01 01:00:00";113,5;98,5
"2020-12-01 01:00:00";118,4;98,5
"2021-01-01 01:00:00";115,3;98,3
"2021-02-01 01:00:00";111,6;96,5
"2021-03-01 01:00:00";117,5;98,4
"2021-04-01 02:00:00";116,5;98,3
"2021-05-01 02:00:00";116,5;97
"2021-06-01 02:00:00";116,5;95,9
"2021-07-01 02:00:00";115,7;97,4
"2021-08-01 02:00:00";113,6;93,1
"2021-09-01 02:00:00";113,8;92,6
"2021-10-01 02:00:00";114,9;96
"2021-11-01 01:00:00";115,8;96,6
"2021-12-01 01:00:00";118,1;97,6
"2022-01-01 01:00:00";116,5;97,7
"2022-02-01 01:00:00";116,2;97,5
"2022-03-01 01:00:00";115,6;93,7
"2022-04-01 02:00:00";114,9;94,9
"2022-05-01 02:00:00";114,1;95,9
"2022-06-01 02:00:00";115,1;96,6
"2022-07-01 02:00:00";113,9;96,1
"2022-08-01 02:00:00";114,6;96
"2022-09-01 02:00:00";114,3;97,4
"2022-10-01 02:00:00";114,9;96,7
"2022-11-01 01:00:00";115;97,6
"2022-12-01 01:00:00";110,9;95,5
"2023-01-01 01:00:00";111,3;97
"2023-02-01 01:00:00";113;99
"2023-03-01 01:00:00";111,2;96,8
"2023-04-01 02:00:00";111,3;97
"2023-05-01 02:00:00";112,6;97,3
"2023-06-01 02:00:00";111,3;96,3
"2023-07-01 02:00:00";111,6;95
"2023-08-01 02:00:00";111;95,7
"2023-09-01 02:00:00";111,3;94,1
"2023-10-01 02:00:00";109,3;93,6
"2023-11-01 01:00:00";110,8;93,2
"2023-12-01 01:00:00";106,9;
