"Monat";"Lkw-Maut-Fahrleistungsindex";"Produktionsindex Verarbeitendes Gewerbe"
"2015-01-01 01:00:00";84,7;101,4
"2015-02-01 01:00:00";84,4;102,2
"2015-03-01 01:00:00";84,6;102,1
"2015-04-01 02:00:00";84,5;103,1
"2015-05-01 02:00:00";86,1;103,5
"2015-06-01 02:00:00";85,5;103,2
"2015-07-01 02:00:00";86,2;104,7
"2015-08-01 02:00:00";86;102,1
"2015-09-01 02:00:00";86,5;102,2
"2015-10-01 02:00:00";86;103,3
"2015-11-01 01:00:00";86,2;102
"2015-12-01 01:00:00";87,8;102,6
"2016-01-01 01:00:00";88,5;104,3
"2016-02-01 01:00:00";89;104,2
"2016-03-01 01:00:00";88,7;103,2
"2016-04-01 02:00:00";89,4;104
"2016-05-01 02:00:00";88,6;102,1
"2016-06-01 02:00:00";88,4;104,2
"2016-07-01 02:00:00";88,8;102,7
"2016-08-01 02:00:00";89,7;104,3
"2016-09-01 02:00:00";89,7;104
"2016-10-01 02:00:00";90,9;104,9
"2016-11-01 01:00:00";91,3;104,5
"2016-12-01 01:00:00";89,9;102,2
"2017-01-01 01:00:00";89,3;103,9
"2017-02-01 01:00:00";91,9;105
"2017-03-01 01:00:00";91,7;104,7
"2017-04-01 02:00:00";93;106,2
"2017-05-01 02:00:00";93,5;106,4
"2017-06-01 02:00:00";93,1;106,4
"2017-07-01 02:00:00";93,6;107,2
"2017-08-01 02:00:00";94,8;109,5
"2017-09-01 02:00:00";95,1;108,6
"2017-10-01 02:00:00";94,7;106,9
"2017-11-01 01:00:00";96,6;110,8
"2017-12-01 01:00:00";94,8;110,1
"2018-01-01 01:00:00";96,2;109,7
"2018-02-01 01:00:00";95;107,4
"2018-03-01 01:00:00";94,7;109
"2018-04-01 02:00:00";94,6;108,6
"2018-05-01 02:00:00";97,3;110,4
"2018-06-01 02:00:00";96,1;109,8
"2018-07-01 02:00:00";95,8;107,7
"2018-08-01 02:00:00";96,3;108,9
"2018-09-01 02:00:00";96,9;108,1
"2018-10-01 02:00:00";97,3;108
"2018-11-01 01:00:00";97,1;105,9
"2018-12-01 01:00:00";98,7;107
"2019-01-01 01:00:00";98,4;106,8
"2019-02-01 01:00:00";96,9;106,4
"2019-03-01 01:00:00";97,8;107,5
"2019-04-01 02:00:00";97,3;106
"2019-05-01 02:00:00";96;106,6
"2019-06-01 02:00:00";96,6;105,4
"2019-07-01 02:00:00";97,1;105
"2019-08-01 02:00:00";96,2;105,3
"2019-09-01 02:00:00";95,9;104,3
"2019-10-01 02:00:00";96,2;103,6
"2019-11-01 01:00:00";96,1;103,8
"2019-12-01 01:00:00";96,1;101,3
"2020-01-01 01:00:00";98;104,6
"2020-02-01 01:00:00";98,6;105,4
"2020-03-01 01:00:00";93,5;94,2
"2020-04-01 02:00:00";83,9;73,3
"2020-05-01 02:00:00";89,1;82,2
"2020-06-01 02:00:00";92,9;91,8
"2020-07-01 02:00:00";95,3;94,2
"2020-08-01 02:00:00";96,5;93,6
"2020-09-01 02:00:00";97,3;96,2
"2020-10-01 02:00:00";97,3;100
"2020-11-01 01:00:00";97,5;101,5
"2020-12-01 01:00:00";102,2;101,4
"2021-01-01 01:00:00";99,1;102
"2021-02-01 01:00:00";96;99,9
"2021-03-01 01:00:00";100,8;101
"2021-04-01 02:00:00";99,9;100,8
"2021-05-01 02:00:00";100,1;100,2
"2021-06-01 02:00:00";100;98,1
"2021-07-01 02:00:00";99,4;100,6
"2021-08-01 02:00:00";97,5;94,4
"2021-09-01 02:00:00";97,8;94,9
"2021-10-01 02:00:00";98,9;98,9
"2021-11-01 01:00:00";99,4;99,8
"2021-12-01 01:00:00";102;101,2
"2022-01-01 01:00:00";100,2;101,1
"2022-02-01 01:00:00";99,9;100,8
"2022-03-01 01:00:00";99,2;95,3
"2022-04-01 02:00:00";98,5;97,2
"2022-05-01 02:00:00";98;99,1
"2022-06-01 02:00:00";98,8;99,5
"2022-07-01 02:00:00";97,8;99,4
"2022-08-01 02:00:00";98,4;98,2
"2022-09-01 02:00:00";98,2;100,8
"2022-10-01 02:00:00";98,8;100,3
"2022-11-01 01:00:00";98,7;101
"2022-12-01 01:00:00";95,7;98,7
"2023-01-01 01:00:00";95,7;100,3
"2023-02-01 01:00:00";97,3;102,7
"2023-03-01 01:00:00";95,3;100
"2023-04-01 02:00:00";95,4;99,2
"2023-05-01 02:00:00";96,8;101,4
"2023-06-01 02:00:00";95,6;99
"2023-07-01 02:00:00";95,8;98
"2023-08-01 02:00:00";95,2;97,8
"2023-09-01 02:00:00";95,6;97,3
"2023-10-01 02:00:00";94,1;96,6
"2023-11-01 01:00:00";95,1;96,3
"2023-12-01 01:00:00";92,6;94,2
"2024-01-01 01:00:00";94,2;95,2
"2024-02-01 01:00:00";96,5;96,6
"2024-03-01 01:00:00";94,8;95,2
"2024-04-01 02:00:00";95,6;95,6
"2024-05-01 02:00:00";95;93,1
"2024-06-01 02:00:00";94,9;94,8
"2024-07-01 02:00:00";94,9;92,6
"2024-08-01 02:00:00";94,7;94,3
"2024-09-01 02:00:00";94,6;92,5
"2024-10-01 02:00:00";95,5;92,7
"2024-11-01 01:00:00";95,1;93,4
"2024-12-01 01:00:00";95,4;91,5
"2025-01-01 01:00:00";95,4;92,7
"2025-02-01 01:00:00";93,8;92,4
"2025-03-01 01:00:00";95,6;95
"2025-04-01 02:00:00";95,2;93,3
"2025-05-01 02:00:00";94,6;92,9
"2025-06-01 02:00:00";93,8;90,3
"2025-07-01 02:00:00";96;
