"Monat";"Lkw-Maut-Fahrleistungsindex"
"2005-01-01 01:00:00";79
"2005-02-01 01:00:00";80,4
"2005-03-01 01:00:00";80,9
"2005-04-01 02:00:00";82
"2005-05-01 02:00:00";82,1
"2005-06-01 02:00:00";82,9
"2005-07-01 02:00:00";83,7
"2005-08-01 02:00:00";83,3
"2005-09-01 02:00:00";84,8
"2005-10-01 02:00:00";87
"2005-11-01 01:00:00";86,6
"2005-12-01 01:00:00";87
"2006-01-01 01:00:00";85,6
"2006-02-01 01:00:00";86,9
"2006-03-01 01:00:00";86,7
"2006-04-01 02:00:00";89,2
"2006-05-01 02:00:00";90,9
"2006-06-01 02:00:00";91
"2006-07-01 02:00:00";92
"2006-08-01 02:00:00";92,1
"2006-09-01 02:00:00";92,5
"2006-10-01 02:00:00";93,5
"2006-11-01 01:00:00";94,4
"2006-12-01 01:00:00";95,5
"2007-01-01 01:00:00";95,2
"2007-02-01 01:00:00";95,3
"2007-03-01 01:00:00";96,7
"2007-04-01 02:00:00";94,3
"2007-05-01 02:00:00";96,3
"2007-06-01 02:00:00";97
"2007-07-01 02:00:00";96,4
"2007-08-01 02:00:00";96,8
"2007-09-01 02:00:00";97,8
"2007-10-01 02:00:00";98,2
"2007-11-01 01:00:00";98
"2007-12-01 01:00:00";99,4
"2008-01-01 01:00:00";101,3
"2008-02-01 01:00:00";101,2
"2008-03-01 01:00:00";99,8
"2008-04-01 02:00:00";98,4
"2008-05-01 02:00:00";98,1
"2008-06-01 02:00:00";96,6
"2008-07-01 02:00:00";96,9
"2008-08-01 02:00:00";96,6
"2008-09-01 02:00:00";96,7
"2008-10-01 02:00:00";95,6
"2008-11-01 01:00:00";91,8
"2008-12-01 01:00:00";90,6
"2009-01-01 01:00:00";86,6
"2009-02-01 01:00:00";85,2
"2009-03-01 01:00:00";83,6
"2009-04-01 02:00:00";84,5
"2009-05-01 02:00:00";84,3
"2009-06-01 02:00:00";85
"2009-07-01 02:00:00";84,9
"2009-08-01 02:00:00";86,2
"2009-09-01 02:00:00";87,1
"2009-10-01 02:00:00";86,1
"2009-11-01 01:00:00";85,4
"2009-12-01 01:00:00";87,5
"2010-01-01 01:00:00";86,5
"2010-02-01 01:00:00";86,6
"2010-03-01 01:00:00";89
"2010-04-01 02:00:00";89,4
"2010-05-01 02:00:00";90,1
"2010-06-01 02:00:00";91
"2010-07-01 02:00:00";91,4
"2010-08-01 02:00:00";91,2
"2010-09-01 02:00:00";91,7
"2010-10-01 02:00:00";92
"2010-11-01 01:00:00";92
"2010-12-01 01:00:00";90,9
"2011-01-01 01:00:00";92,3
"2011-02-01 01:00:00";93,4
"2011-03-01 01:00:00";94,1
"2011-04-01 02:00:00";94,1
"2011-05-01 02:00:00";93,1
"2011-06-01 02:00:00";93,6
"2011-07-01 02:00:00";94,4
"2011-08-01 02:00:00";94,4
"2011-09-01 02:00:00";93,6
"2011-10-01 02:00:00";94,8
"2011-11-01 01:00:00";94,9
"2011-12-01 01:00:00";91,9
"2012-01-01 01:00:00";91,7
"2012-02-01 01:00:00";92,2
"2012-03-01 01:00:00";93,7
"2012-04-01 02:00:00";91,9
"2012-05-01 02:00:00";94
"2012-06-01 02:00:00";93,4
"2012-07-01 02:00:00";93,4
"2012-08-01 02:00:00";93,7
"2012-09-01 02:00:00";94,1
"2012-10-01 02:00:00";93,3
"2012-11-01 01:00:00";92
"2012-12-01 01:00:00";93,1
"2013-01-01 01:00:00";92,4
"2013-02-01 01:00:00";92,2
"2013-03-01 01:00:00";91,5
"2013-04-01 02:00:00";93,4
"2013-05-01 02:00:00";94
"2013-06-01 02:00:00";94,3
"2013-07-01 02:00:00";95,1
"2013-08-01 02:00:00";95,2
"2013-09-01 02:00:00";94,8
"2013-10-01 02:00:00";95,4
"2013-11-01 01:00:00";95,8
"2013-12-01 01:00:00";96
"2014-01-01 01:00:00";96,6
"2014-02-01 01:00:00";95,9
"2014-03-01 01:00:00";97,4
"2014-04-01 02:00:00";97,4
"2014-05-01 02:00:00";95,7
"2014-06-01 02:00:00";96,8
"2014-07-01 02:00:00";98,3
"2014-08-01 02:00:00";96
"2014-09-01 02:00:00";96,9
"2014-10-01 02:00:00";97
"2014-11-01 01:00:00";96,6
"2014-12-01 01:00:00";98,9
"2015-01-01 01:00:00";98,4
"2015-02-01 01:00:00";98,2
"2015-03-01 01:00:00";98,5
"2015-04-01 02:00:00";98,3
"2015-05-01 02:00:00";100,2
"2015-06-01 02:00:00";99,4
"2015-07-01 02:00:00";100,4
"2015-08-01 02:00:00";100,1
"2015-09-01 02:00:00";100,6
"2015-10-01 02:00:00";100,1
"2015-11-01 01:00:00";100,3
"2015-12-01 01:00:00";102,2
"2016-01-01 01:00:00";102,8
"2016-02-01 01:00:00";103,6
"2016-03-01 01:00:00";103,2
"2016-04-01 02:00:00";104
"2016-05-01 02:00:00";103,2
"2016-06-01 02:00:00";103
"2016-07-01 02:00:00";103,3
"2016-08-01 02:00:00";104,4
"2016-09-01 02:00:00";104,4
"2016-10-01 02:00:00";105,8
"2016-11-01 01:00:00";106,2
"2016-12-01 01:00:00";104,4
"2017-01-01 01:00:00";103,7
"2017-02-01 01:00:00";107
"2017-03-01 01:00:00";106,6
"2017-04-01 02:00:00";108,2
"2017-05-01 02:00:00";108,8
"2017-06-01 02:00:00";108,4
"2017-07-01 02:00:00";108,9
"2017-08-01 02:00:00";110,4
"2017-09-01 02:00:00";110,8
"2017-10-01 02:00:00";110,3
"2017-11-01 01:00:00";112,6
"2017-12-01 01:00:00";110,1
"2018-01-01 01:00:00";111,7
"2018-02-01 01:00:00";110,7
"2018-03-01 01:00:00";110,1
"2018-04-01 02:00:00";110,1
"2018-05-01 02:00:00";113,4
"2018-06-01 02:00:00";111,8
"2018-07-01 02:00:00";111,5
"2018-08-01 02:00:00";112
"2018-09-01 02:00:00";112,9
"2018-10-01 02:00:00";113,3
"2018-11-01 01:00:00";113,1
"2018-12-01 01:00:00";114,6
"2019-01-01 01:00:00";114,2
"2019-02-01 01:00:00";113,1
"2019-03-01 01:00:00";113,7
"2019-04-01 02:00:00";113,1
"2019-05-01 02:00:00";111,9
"2019-06-01 02:00:00";112,4
"2019-07-01 02:00:00";113
"2019-08-01 02:00:00";112
"2019-09-01 02:00:00";111,7
"2019-10-01 02:00:00";112,1
"2019-11-01 01:00:00";112,2
"2019-12-01 01:00:00";111,1
"2020-01-01 01:00:00";113,5
"2020-02-01 01:00:00";115,3
"2020-03-01 01:00:00";108,6
"2020-04-01 02:00:00";97,5
"2020-05-01 02:00:00";103,9
"2020-06-01 02:00:00";108,2
"2020-07-01 02:00:00";111
"2020-08-01 02:00:00";112,4
"2020-09-01 02:00:00";113,3
"2020-10-01 02:00:00";113,3
"2020-11-01 01:00:00";113,9
"2020-12-01 01:00:00";117,8
"2021-01-01 01:00:00";115
"2021-02-01 01:00:00";112,2
"2021-03-01 01:00:00";117,2
"2021-04-01 02:00:00";116,2
"2021-05-01 02:00:00";116,6
"2021-06-01 02:00:00";116,4
"2021-07-01 02:00:00";115,8
"2021-08-01 02:00:00";113,5
"2021-09-01 02:00:00";113,8
"2021-10-01 02:00:00";115,2
"2021-11-01 01:00:00";116,3
"2021-12-01 01:00:00";117,3
"2022-01-01 01:00:00";116,2
"2022-02-01 01:00:00";116,9
"2022-03-01 01:00:00";115,3
"2022-04-01 02:00:00";114,6
"2022-05-01 02:00:00";114,3
"2022-06-01 02:00:00";115,1
"2022-07-01 02:00:00";114
"2022-08-01 02:00:00";114,4
