"Monat";"Originalwert";"Kalender- und saisonbereinigt (X13 JDemetra+)"
"2017-01";82,6;100,8
"2017-02";83,3;101,6
"2017-03";97,5;103,9
"2017-04";99,2;102,7
"2017-05";110,1;103,9
"2017-06";109,2;102,4
"2017-07";113;102,8
"2017-08";109,5;101,7
"2017-09";114,5;102,9
"2017-10";109;102,2
"2017-11";95,6;101,5
"2017-12";105,1;103
"2018-01";85,4;104,3
"2018-02";84,2;102,6
"2018-03";96,1;101,3
"2018-04";102,4;106,1
"2018-05";108,3;102,8
"2018-06";111;103,4
"2018-07";113,2;103,8
"2018-08";112,2;103,6
"2018-09";116;105,1
"2018-10";110;103,3
"2018-11";99,8;104,9
"2018-12";106,6;104,5
"2019-01";86;105,2
"2019-02";87,7;106,7
"2019-03";99,9;105,5
"2019-04";101,4;105,2
"2019-05";109,7;103,6
"2019-06";112;105
"2019-07";112,3;103,4
"2019-08";113,1;103,7
"2019-09";114,2;103,7
"2019-10";111,1;104,6
"2019-11";101,8;106,5
"2019-12";106,7;105,3
"2020-01";86,5;104,7
"2020-02";88,4;104,4
"2020-03";54,7;58,1
"2020-04";25,5;26,6
"2020-05";40,4;38,1
"2020-06";66;61,8
"2020-07";84,8;77,8
"2020-08";90,2;83,2
"2020-09";89;81,5
"2020-10";77,2;71,5
"2020-11";33,3;35,1
"2020-12";31,2;30,9
"2021-01";32,2;38,7
"2021-02";31,8;38,6
"2021-03";38,3;40,7
"2021-04";36,4;37,7
"2021-05";45,8;43,2
"2021-06";70,7;66,8
"2021-07";86,3;78,6
"2021-08";90,6;84,2
"2021-09";91,6;83,7
"2021-10";91,1;84,5
"2021-11";75,4;79,4
"2021-12";65,3;64,3
"2022-01";63,8;76,6
"2022-02";65,9;80
"2022-03";78,1;83,2
"2022-04";88,4;91,1
"2022-05";103,1;98,3
"2022-06";105,7;99,4
"2022-07";105,9;96,9
"2022-08";103,3;96,3
"2022-09";106,1;96
"2022-10";103,2;95,8
"2022-11";89,6;95,1
"2022-12";89,6;87,3
"2023-01";77,7;93,9
"2023-02";77,6;94,1
"2023-03";88,9;93,9
"2023-04";89,6;93,1
"2023-05";95,5;91,4
