"Monat";"reale Originalwerte";"real Kalender- und saisonbereinigt (X13 JDemetra+)";"nominale Originalwerte";"nominal Kalender- und saisonbereinigt (X13 JDemetra+)"
"2017-01";82,6;101,2;84,7;104,1
"2017-02";83,3;102,5;85,9;105,9
"2017-03";97,5;104,1;100,6;107,6
"2017-04";99,2;102,5;102,5;106
"2017-05";110,1;103,3;114,3;107,1
"2017-06";109,2;102,2;113,7;106,1
"2017-07";113;102,4;118;106,8
"2017-08";109,5;100,8;114,3;105,3
"2017-09";114,5;102,4;120,5;107,2
"2017-10";109;102,2;114,4;106,9
"2017-11";95,6;102,3;100,1;107,2
"2017-12";105,1;103,7;110,2;109,1
"2018-01";85,4;105,1;89,6;110,6
"2018-02";84,2;103,8;88,7;109,6
"2018-03";96,1;101,7;101,5;107,7
"2018-04";102,4;106,1;108,4;112,4
"2018-05";108,3;102;115;108,2
"2018-06";111;102,7;118,4;109,3
"2018-07";113,2;103,1;120,5;109,6
"2018-08";112,2;102,7;119,5;109,4
"2018-09";116;104,2;124,5;111,2
"2018-10";110;103,3;117,9;110,4
"2018-11";99,8;106,2;106,8;113,8
"2018-12";106,6;105,6;114;113,3
"2019-01";86;106,7;91,9;114,4
"2019-02";87,7;108,2;94,1;116,4
"2019-03";99,9;105,4;107,2;113,4
"2019-04";101,4;105,1;109,8;114
"2019-05";109,7;102,6;119,8;112
"2019-06";112;103,7;122,6;113,2
"2019-07";112,3;102,6;122,6;111,7
"2019-08";113,1;102,9;123,5;112,2
"2019-09";114,2;102,7;125,6;112,3
"2019-10";111,1;104,9;122,2;115,1
"2019-11";101,8;107,6;111,9;118,5
"2019-12";106,7;106,8;117,2;117,7
"2020-01";86,5;107;95;117,9
"2020-02";88,4;105,9;97,3;116,9
"2020-03";54,7;58,1;60,2;64,1
"2020-04";25,5;26,5;28,2;29,4
"2020-05";40,4;37,4;44,9;41,5
"2020-06";66;61;73,4;67,7
"2020-07";84,8;77,4;98,2;89,3
"2020-08";90,2;82,2;104,4;94,9
"2020-09";89;80,5;102,9;92,5
"2020-10";77,2;71,9;89,3;83
"2020-11";33,3;35,5;38,4;41
"2020-12";31,2;31,6;36;36,6
"2021-01";32,2;39,5;36,7;45,2
"2021-02";31,8;39,3;36,2;44,9
"2021-03";38,3;40,7;43,6;46,5
"2021-04";36,4;37,7;41,5;43,1
"2021-05";45,8;42,3;52,5;48,5
"2021-06";70,7;65,5;82,1;75,9
"2021-07";86,3;78,1;100,6;90,7
"2021-08";90,6;83,1;105,9;96,9
"2021-09";91,6;82,8;106,9;96
"2021-10";91,1;84,7;106,7;99
"2021-11";75,4;80,4;88,2;94,3
"2021-12";65,3;66;76,7;77,8
"2022-01";62;76,5;73,3;90,7
"2022-02";65,2;80,6;77,5;96,1
"2022-03";77,1;82,2;92,1;98,6
"2022-04";90,3;93;109,1;112,6
"2022-05";105;97,6;128,4;119,3
"2022-06";105,7;97,6;130,8;120,5
"2022-07";108,7;98,3;136,5;122,9
"2022-08";106,3;97,6;133,9;122,6
"2022-09";104,1;93,5;133,2;118,9
"2022-10";101,7;94,5;130;120,6
"2022-11";87,1;93,5;111,5;120
"2022-12";89,9;90,3;115,4;116,4
"2023-01";74,7;93,2;97,1;121,4
"2023-02";75,9;93,9;99;122,9
"2023-03";86,9;92,2;114,2;121,6
"2023-04";91,4;94,6;120,8;125,3
"2023-05";102;94,8;135,7;126,1
"2023-06";103,5;94,8;138,8;126,8
"2023-07";104,3;94,4;139,9;126
"2023-08";99,8;92,1;133,7;122,9
"2023-09";106,4;94,8;143,7;127,2
"2023-10";98,5;92,1;133;124,2
"2023-11";86;92,4;116,2;125,2
"2023-12";91;91,5;122,9;124,2
"2024-01";73,7;92,5;98,4;123,7
"2024-02";77,3;93,5;103,7;125,9
"2024-03";87,9;92,2;118,9;125,2
"2024-04";88,1;91,6;120,5;125,6
"2024-05";97,8;90,7;134,5;124,7
"2024-06";99,8;90,9;138,8;126,1
"2024-07";100;91,3;137,9;125,3
"2024-08";98,8;90;136,8;124,1
"2024-09";99,5;89,1;139,2;123,9
"2024-10";94,5;89,1;131,8;124
