"Monat";"Originalwert";"Kalender- und saisonbereinigt (X13 JDemetra+)"
"2017-01";82,6;101
"2017-02";83,3;101,6
"2017-03";97,5;104,5
"2017-04";99,2;102,2
"2017-05";110,1;103,7
"2017-06";109,2;102,5
"2017-07";113;102,7
"2017-08";109,5;101
"2017-09";114,5;102,9
"2017-10";109;102,3
"2017-11";95,6;101,6
"2017-12";105,1;103,1
"2018-01";85,4;104,8
"2018-02";84,2;102,5
"2018-03";96,1;101,9
"2018-04";102,4;105,6
"2018-05";108,3;102,4
"2018-06";111;103,7
"2018-07";113,2;103,7
"2018-08";112,2;102,9
"2018-09";116;105
"2018-10";110;103,8
"2018-11";99,8;105
"2018-12";106,6;104,7
"2019-01";86;105,6
"2019-02";87,7;106,7
"2019-03";99,9;106
"2019-04";101,4;104,4
"2019-05";109,7;103,3
"2019-06";112;105,3
"2019-07";112,3;103,3
"2019-08";113,1;102,8
"2019-09";114,2;103,7
"2019-10";111,1;105,1
"2019-11";101,8;106,6
"2019-12";106,7;105,5
"2020-01";86,5;105,5
"2020-02";88,4;104,4
"2020-03";54,7;58,4
"2020-04";25,5;26,4
"2020-05";40,4;37,8
"2020-06";66;62,2
"2020-07";84,8;77,8
"2020-08";90,2;82,4
"2020-09";89;81,5
"2020-10";77,2;71,9
"2020-11";33,3;35,1
"2020-12";31,2;31
"2021-01";27,1;32,8
"2021-02";27,5;33,4
"2021-03";32,9;35,2
"2021-04";32,5;33,3
"2021-05";41,8;39,2
"2021-06";72,4;68,7
"2021-07";93,5;85
"2021-08";98;90,2
"2021-09";96,9;88,6
"2021-10";94,8;88,6
"2021-11";73,4;77,4
"2021-12";63,5;62,6
"2022-01";56;67,8
"2022-02";58,7;71,2
"2022-03";72,2;77,3
"2022-04";82,2;83,8
"2022-05";97,6;92,2
"2022-06";100,4;95,1
"2022-07";102,6;93,7
