"","dates","values"
"219",1991-01-01,8.85
"220",1991-02-01,8.49
"221",1991-03-01,8.64
"222",1991-04-01,8.47
"223",1991-05-01,8.35
"224",1991-06-01,8.6
"225",1991-07-01,8.82
"226",1991-08-01,8.55
"227",1991-09-01,8.52
"228",1991-10-01,8.52
"229",1991-11-01,8.44
"230",1991-12-01,8.19
"231",1992-01-01,7.9
"232",1992-02-01,7.84
"233",1992-03-01,8.01
"234",1992-04-01,8.04
"235",1992-05-01,7.99
"236",1992-06-01,8.1
"237",1992-07-01,8.2
"238",1992-08-01,8.08
"239",1992-09-01,7.63
"240",1992-10-01,7.24
"241",1992-11-01,7.19
"242",1992-12-01,7
"243",1993-01-01,6.88
"244",1993-02-01,6.48
"245",1993-03-01,6.51
"246",1993-04-01,6.63
"247",1993-05-01,6.69
"248",1993-06-01,6.53
"249",1993-07-01,6.39
"250",1993-08-01,6.07
"251",1993-09-01,5.98
"252",1993-10-01,5.72
"253",1993-11-01,5.65
"254",1993-12-01,5.47
"255",1994-01-01,5.55
"256",1994-02-01,6.16
"257",1994-03-01,6.32
"258",1994-04-01,6.65
"259",1994-05-01,6.92
"260",1994-06-01,7.01
"261",1994-07-01,6.97
"262",1994-08-01,7.27
"263",1994-09-01,7.57
"264",1994-10-01,7.57
"265",1994-11-01,7.43
"266",1994-12-01,7.67
"267",1995-01-01,7.46
"268",1995-02-01,7.32
"269",1995-03-01,7.09
"270",1995-04-01,6.92
"271",1995-05-01,6.48
"272",1995-06-01,6.95
"273",1995-07-01,6.75
"274",1995-08-01,6.62
"275",1995-09-01,6.56
"276",1995-10-01,6.32
"277",1995-11-01,6.02
"278",1995-12-01,5.82
"279",1996-01-01,5.67
"280",1996-02-01,6.22
"281",1996-03-01,6.24
"282",1996-04-01,6.09
"283",1996-05-01,6.2
"284",1996-06-01,6.38
"285",1996-07-01,6.2
"286",1996-08-01,6.16
"287",1996-09-01,5.88
"288",1996-10-01,5.81
"289",1996-11-01,5.5
"290",1996-12-01,5.58
"291",1997-01-01,5.49
"292",1997-02-01,5.24
"293",1997-03-01,5.61
"294",1997-04-01,5.52
"295",1997-05-01,5.64
"296",1997-06-01,5.37
"297",1997-07-01,5.26
"298",1997-08-01,5.47
"299",1997-09-01,5.34
"300",1997-10-01,5.47
"301",1997-11-01,5.4
"302",1997-12-01,5.18
"303",1998-01-01,4.91
"304",1998-02-01,4.8
"305",1998-03-01,4.83
"306",1998-04-01,5.02
"307",1998-05-01,4.83
"308",1998-06-01,4.74
"309",1998-07-01,4.61
"310",1998-08-01,4.14
"311",1998-09-01,3.92
"312",1998-10-01,4.03
"313",1998-11-01,3.89
"314",1998-12-01,3.75
"315",1999-01-01,3.52
"316",1999-02-01,3.87
"317",1999-03-01,3.83
"318",1999-04-01,3.61
"319",1999-05-01,3.86
"320",1999-06-01,4.39
"321",1999-07-01,4.63
"322",1999-08-01,4.8
"323",1999-09-01,5.02
"324",1999-10-01,5.14
"325",1999-11-01,5.11
"326",1999-12-01,5.22
"327",2000-01-01,5.52
"328",2000-02-01,5.43
"329",2000-03-01,5.17
"330",2000-04-01,5.31
"331",2000-05-01,5.28
"332",2000-06-01,5.21
"333",2000-07-01,5.26
"334",2000-08-01,5.35
"335",2000-09-01,5.24
"336",2000-10-01,5.22
"337",2000-11-01,5
"338",2000-12-01,4.79
"339",2001-01-01,4.71
"340",2001-02-01,4.64
"341",2001-03-01,4.58
"342",2001-04-01,4.93
"343",2001-05-01,5.05
"344",2001-06-01,4.9
"345",2001-07-01,4.75
"346",2001-08-01,4.62
"347",2001-09-01,4.56
"348",2001-10-01,4.24
"349",2001-11-01,4.47
"350",2001-12-01,4.83
"351",2002-01-01,4.88
"352",2002-02-01,4.83
"353",2002-03-01,5.15
"354",2002-04-01,5.01
"355",2002-05-01,5.04
"356",2002-06-01,4.84
"357",2002-07-01,4.68
"358",2002-08-01,4.41
"359",2002-09-01,4.13
"360",2002-10-01,4.31
"361",2002-11-01,4.32
"362",2002-12-01,3.98
"363",2003-01-01,3.78
"364",2003-02-01,3.64
"365",2003-03-01,3.77
"366",2003-04-01,3.86
"367",2003-05-01,3.38
"368",2003-06-01,3.56
"369",2003-07-01,3.76
"370",2003-08-01,3.93
"371",2003-09-01,3.76
"372",2003-10-01,4.11
"373",2003-11-01,4.21
"374",2003-12-01,4.05
"375",2004-01-01,4.02
"376",2004-02-01,3.74
"377",2004-03-01,3.66
"378",2004-04-01,3.95
"379",2004-05-01,4.04
"380",2004-06-01,4.09
"381",2004-07-01,3.99
"382",2004-08-01,3.81
"383",2004-09-01,3.74
"384",2004-10-01,3.6
"385",2004-11-01,3.48
"386",2004-12-01,3.44
"387",2005-01-01,3.32
"388",2005-02-01,3.47
"389",2005-03-01,3.45
"390",2005-04-01,3.16
"391",2005-05-01,3.02
"392",2005-06-01,2.89
"393",2005-07-01,2.97
"394",2005-08-01,2.91
"395",2005-09-01,3.01
"396",2005-10-01,3.27
"397",2005-11-01,3.29
"398",2005-12-01,3.2
"399",2006-01-01,3.41
"400",2006-02-01,3.44
"401",2006-03-01,3.71
"402",2006-04-01,3.93
"403",2006-05-01,3.85
"404",2006-06-01,4.02
"405",2006-07-01,3.85
"406",2006-08-01,3.74
"407",2006-09-01,3.64
"408",2006-10-01,3.78
"409",2006-11-01,3.7
"410",2006-12-01,3.94
"411",2007-01-01,4.09
"412",2007-02-01,3.95
"413",2007-03-01,4.04
"414",2007-04-01,4.21
"415",2007-05-01,4.4
"416",2007-06-01,4.55
"417",2007-07-01,4.35
"418",2007-08-01,4.25
"419",2007-09-01,4.31
"420",2007-10-01,4.18
"421",2007-11-01,4.03
"422",2007-12-01,4.3
"423",2008-01-01,3.83
"424",2008-02-01,3.75
"425",2008-03-01,3.87
"426",2008-04-01,4.13
"427",2008-05-01,4.4
"428",2008-06-01,4.61
