"","dates","values"
"219",1991-01-01,8.69
"220",1991-02-01,8.37
"221",1991-03-01,8.53
"222",1991-04-01,8.31
"223",1991-05-01,8.24
"224",1991-06-01,8.47
"225",1991-07-01,8.67
"226",1991-08-01,8.38
"227",1991-09-01,8.34
"228",1991-10-01,8.32
"229",1991-11-01,8.22
"230",1991-12-01,7.99
"231",1992-01-01,7.76
"232",1992-02-01,7.7
"233",1992-03-01,7.81
"234",1992-04-01,7.9
"235",1992-05-01,7.86
"236",1992-06-01,7.97
"237",1992-07-01,8.02
"238",1992-08-01,7.93
"239",1992-09-01,7.51
"240",1992-10-01,7.24
"241",1992-11-01,7.17
"242",1992-12-01,7.04
"243",1993-01-01,6.94
"244",1993-02-01,6.63
"245",1993-03-01,6.68
"246",1993-04-01,6.77
"247",1993-05-01,6.83
"248",1993-06-01,6.67
"249",1993-07-01,6.54
"250",1993-08-01,6.2
"251",1993-09-01,6.16
"252",1993-10-01,5.93
"253",1993-11-01,5.9
"254",1993-12-01,5.73
"255",1994-01-01,5.8
"256",1994-02-01,6.39
"257",1994-03-01,6.57
"258",1994-04-01,6.89
"259",1994-05-01,7.19
"260",1994-06-01,7.22
"261",1994-07-01,7.19
"262",1994-08-01,7.47
"263",1994-09-01,7.74
"264",1994-10-01,7.73
"265",1994-11-01,7.57
"266",1994-12-01,7.77
"267",1995-01-01,7.58
"268",1995-02-01,7.46
"269",1995-03-01,7.37
"270",1995-04-01,7.21
"271",1995-05-01,6.81
"272",1995-06-01,7.25
"273",1995-07-01,7.06
"274",1995-08-01,6.95
"275",1995-09-01,6.94
"276",1995-10-01,6.71
"277",1995-11-01,6.45
"278",1995-12-01,6.24
"279",1996-01-01,6.08
"280",1996-02-01,6.63
"281",1996-03-01,6.65
"282",1996-04-01,6.51
"283",1996-05-01,6.64
"284",1996-06-01,6.76
"285",1996-07-01,6.58
"286",1996-08-01,6.59
"287",1996-09-01,6.3
"288",1996-10-01,6.23
"289",1996-11-01,5.94
"290",1996-12-01,6.01
"291",1997-01-01,5.97
"292",1997-02-01,5.64
"293",1997-03-01,6.02
"294",1997-04-01,5.95
"295",1997-05-01,6.07
"296",1997-06-01,5.8
"297",1997-07-01,5.62
"298",1997-08-01,5.8
"299",1997-09-01,5.61
"300",1997-10-01,5.7
"301",1997-11-01,5.62
"302",1997-12-01,5.39
"303",1998-01-01,5.14
"304",1998-02-01,5.01
"305",1998-03-01,4.99
"306",1998-04-01,5.19
"307",1998-05-01,5
"308",1998-06-01,4.93
"309",1998-07-01,4.76
"310",1998-08-01,4.34
"311",1998-09-01,4.1
"312",1998-10-01,4.26
"313",1998-11-01,4.1
"314",1998-12-01,3.99
"315",1999-01-01,3.74
"316",1999-02-01,4.11
"317",1999-03-01,4.12
"318",1999-04-01,3.92
"319",1999-05-01,4.18
"320",1999-06-01,4.65
"321",1999-07-01,4.87
"322",1999-08-01,5.04
"323",1999-09-01,5.25
"324",1999-10-01,5.31
"325",1999-11-01,5.27
"326",1999-12-01,5.38
"327",2000-01-01,5.67
"328",2000-02-01,5.56
"329",2000-03-01,5.28
"330",2000-04-01,5.43
"331",2000-05-01,5.34
"332",2000-06-01,5.3
"333",2000-07-01,5.31
"334",2000-08-01,5.35
"335",2000-09-01,5.28
"336",2000-10-01,5.28
"337",2000-11-01,5.09
"338",2000-12-01,4.91
"339",2001-01-01,4.83
"340",2001-02-01,4.77
"341",2001-03-01,4.74
"342",2001-04-01,5.09
"343",2001-05-01,5.26
"344",2001-06-01,5.12
"345",2001-07-01,4.99
"346",2001-08-01,4.86
"347",2001-09-01,4.86
"348",2001-10-01,4.51
"349",2001-11-01,4.69
"350",2001-12-01,5.04
"351",2002-01-01,5.03
"352",2002-02-01,5
"353",2002-03-01,5.29
"354",2002-04-01,5.17
"355",2002-05-01,5.2
"356",2002-06-01,5.01
"357",2002-07-01,4.89
"358",2002-08-01,4.62
"359",2002-09-01,4.38
"360",2002-10-01,4.59
"361",2002-11-01,4.61
"362",2002-12-01,4.28
"363",2003-01-01,4.09
"364",2003-02-01,4.01
"365",2003-03-01,4.11
"366",2003-04-01,4.21
"367",2003-05-01,3.75
"368",2003-06-01,3.94
"369",2003-07-01,4.11
"370",2003-08-01,4.22
"371",2003-09-01,4.12
"372",2003-10-01,4.4
