"","dates","values"
"220",1991-01-01,8.98
"221",1991-02-01,8.57
"222",1991-03-01,8.71
"223",1991-04-01,8.63
"224",1991-05-01,8.47
"225",1991-06-01,8.73
"226",1991-07-01,8.97
"227",1991-08-01,8.75
"228",1991-09-01,8.75
"229",1991-10-01,8.73
"230",1991-11-01,8.68
"231",1991-12-01,8.46
"232",1992-01-01,8.08
"233",1992-02-01,8.05
"234",1992-03-01,8.28
"235",1992-04-01,8.29
"236",1992-05-01,8.22
"237",1992-06-01,8.34
"238",1992-07-01,8.47
"239",1992-08-01,8.32
"240",1992-09-01,7.77
"241",1992-10-01,7.26
"242",1992-11-01,7.21
"243",1992-12-01,6.96
"244",1993-01-01,6.84
"245",1993-02-01,6.32
"246",1993-03-01,6.32
"247",1993-04-01,6.45
"248",1993-05-01,6.5
"249",1993-06-01,6.33
"250",1993-07-01,6.17
"251",1993-08-01,5.89
"252",1993-09-01,5.77
"253",1993-10-01,5.47
"254",1993-11-01,5.35
"255",1993-12-01,5.16
"256",1994-01-01,5.25
"257",1994-02-01,5.86
"258",1994-03-01,5.99
"259",1994-04-01,6.29
"260",1994-05-01,6.53
"261",1994-06-01,6.67
"262",1994-07-01,6.61
"263",1994-08-01,6.94
"264",1994-09-01,7.28
"265",1994-10-01,7.28
"266",1994-11-01,7.18
"267",1994-12-01,7.48
"268",1995-01-01,7.24
"269",1995-02-01,7.08
"270",1995-03-01,6.65
"271",1995-04-01,6.49
"272",1995-05-01,5.99
"273",1995-06-01,6.48
"274",1995-07-01,6.26
"275",1995-08-01,6.09
"276",1995-09-01,5.97
"277",1995-10-01,5.73
"278",1995-11-01,5.37
"279",1995-12-01,5.19
"280",1996-01-01,5.05
"281",1996-02-01,5.57
"282",1996-03-01,5.6
"283",1996-04-01,5.42
"284",1996-05-01,5.52
"285",1996-06-01,5.78
"286",1996-07-01,5.61
"287",1996-08-01,5.49
"288",1996-09-01,5.24
"289",1996-10-01,5.17
"290",1996-11-01,4.88
"291",1996-12-01,4.93
"292",1997-01-01,4.8
"293",1997-02-01,4.66
"294",1997-03-01,5.01
"295",1997-04-01,4.91
"296",1997-05-01,5.01
"297",1997-06-01,4.75
"298",1997-07-01,4.78
"299",1997-08-01,5
"300",1997-09-01,4.96
"301",1997-10-01,5.15
"302",1997-11-01,5.09
"303",1997-12-01,4.89
"304",1998-01-01,4.6
"305",1998-02-01,4.53
"306",1998-03-01,4.62
"307",1998-04-01,4.8
"308",1998-05-01,4.6
"309",1998-06-01,4.47
"310",1998-07-01,4.42
"311",1998-08-01,3.91
"312",1998-09-01,3.73
"313",1998-10-01,3.77
"314",1998-11-01,3.64
"315",1998-12-01,3.5
"316",1999-01-01,3.26
"317",1999-02-01,3.6
"318",1999-03-01,3.48
"319",1999-04-01,3.26
"320",1999-05-01,3.48
"321",1999-06-01,4.04
"322",1999-07-01,4.3
"323",1999-08-01,4.47
"324",1999-09-01,4.68
"325",1999-10-01,4.87
"326",1999-11-01,4.86
"327",1999-12-01,4.99
"328",2000-01-01,5.29
"329",2000-02-01,5.21
"330",2000-03-01,5
"331",2000-04-01,5.13
"332",2000-05-01,5.2
"333",2000-06-01,5.12
"334",2000-07-01,5.22
"335",2000-08-01,5.34
"336",2000-09-01,5.19
"337",2000-10-01,5.17
"338",2000-11-01,4.92
"339",2000-12-01,4.66
"340",2001-01-01,4.59
"341",2001-02-01,4.51
"342",2001-03-01,4.41
"343",2001-04-01,4.77
"344",2001-05-01,4.8
"345",2001-06-01,4.64
"346",2001-07-01,4.48
"347",2001-08-01,4.33
"348",2001-09-01,4.18
"349",2001-10-01,3.88
"350",2001-11-01,4.16
"351",2001-12-01,4.51
"352",2002-01-01,4.67
"353",2002-02-01,4.59
"354",2002-03-01,4.95
"355",2002-04-01,4.78
"356",2002-05-01,4.82
"357",2002-06-01,4.6
"358",2002-07-01,4.38
"359",2002-08-01,4.12
"360",2002-09-01,3.8
"361",2002-10-01,3.94
"362",2002-11-01,3.93
"363",2002-12-01,3.57
"364",2003-01-01,3.38
"365",2003-02-01,3.17
"366",2003-03-01,3.34
"367",2003-04-01,3.39
"368",2003-05-01,2.9
"369",2003-06-01,3.06
"370",2003-07-01,3.32
"371",2003-08-01,3.55
"372",2003-09-01,3.28
"373",2003-10-01,3.7
"374",2003-11-01,3.81
"375",2003-12-01,3.62
"376",2004-01-01,3.56
"377",2004-02-01,3.25
"378",2004-03-01,3.16
"379",2004-04-01,3.52
"380",2004-05-01,3.61
"381",2004-06-01,3.7
"382",2004-07-01,3.6
"383",2004-08-01,3.41
"384",2004-09-01,3.37
"385",2004-10-01,3.23
"386",2004-11-01,3.1
"387",2004-12-01,3.14
"388",2005-01-01,3.02
"389",2005-02-01,3.18
"390",2005-03-01,3.16
"391",2005-04-01,2.85
"392",2005-05-01,2.72
"393",2005-06-01,2.56
"394",2005-07-01,2.71
"395",2005-08-01,2.66
"396",2005-09-01,2.79
"397",2005-10-01,3.06
"398",2005-11-01,3.12
"399",2005-12-01,3.08
"400",2006-01-01,3.28
"401",2006-02-01,3.32
"402",2006-03-01,3.59
"403",2006-04-01,3.79
"404",2006-05-01,3.7
"405",2006-06-01,3.88
"406",2006-07-01,3.74
"407",2006-08-01,3.63
"408",2006-09-01,3.58
"409",2006-10-01,3.74
"410",2006-11-01,3.66
"411",2006-12-01,3.91
"412",2007-01-01,4.04
"413",2007-02-01,3.9
"414",2007-03-01,4
"415",2007-04-01,4.18
"416",2007-05-01,4.39
"417",2007-06-01,4.52
"418",2007-07-01,4.32
"419",2007-08-01,4.16
"420",2007-09-01,4.22
"421",2007-10-01,4.11
"422",2007-11-01,3.9
"423",2007-12-01,4.2
"424",2008-01-01,3.63
"425",2008-02-01,3.46
"426",2008-03-01,3.69
"427",2008-04-01,3.98
"428",2008-05-01,4.32
"429",2008-06-01,4.57
"430",2008-07-01,4.36
"431",2008-08-01,4.03
"432",2008-09-01,3.72
"433",2008-10-01,3.22
"434",2008-11-01,2.7
"435",2008-12-01,2.46
"436",2009-01-01,2.57
"437",2009-02-01,2.32
"438",2009-03-01,2.29
"439",2009-04-01,2.48
"440",2009-05-01,2.73
"441",2009-06-01,2.61
"442",2009-07-01,2.61
"443",2009-08-01,2.57
"444",2009-09-01,2.53
"445",2009-10-01,2.54
"446",2009-11-01,2.32
"447",2009-12-01,2.52
"448",2010-01-01,2.33
"449",2010-02-01,2.17
"450",2010-03-01,2.19
"451",2010-04-01,2.07
"452",2010-05-01,1.61
"453",2010-06-01,1.54
"454",2010-07-01,1.78
"455",2010-08-01,1.32
"456",2010-09-01,1.48
"457",2010-10-01,1.78
"458",2010-11-01,1.8
"459",2010-12-01,1.99
"460",2011-01-01,2.44
"461",2011-02-01,2.4
"462",2011-03-01,2.71
"463",2011-04-01,2.67
"464",2011-05-01,2.38
"465",2011-06-01,2.27
"466",2011-07-01,1.87
"467",2011-08-01,1.36
"468",2011-09-01,1.24
"469",2011-10-01,1.26
"470",2011-11-01,1.32
