"","dates","values"
"219",1991-01-01,9.01
"220",1991-02-01,8.61
"221",1991-03-01,8.69
"222",1991-04-01,8.73
"223",1991-05-01,8.59
"224",1991-06-01,8.8
"225",1991-07-01,9.09
"226",1991-08-01,8.89
"227",1991-09-01,8.93
"228",1991-10-01,8.92
"229",1991-11-01,8.91
"230",1991-12-01,8.8
"231",1992-01-01,8.32
"232",1992-02-01,8.37
"233",1992-03-01,8.62
"234",1992-04-01,8.72
"235",1992-05-01,8.64
"236",1992-06-01,8.77
"237",1992-07-01,8.88
"238",1992-08-01,8.77
"239",1992-09-01,7.98
"240",1992-10-01,7.35
"241",1992-11-01,7.26
"242",1992-12-01,7
"243",1993-01-01,6.88
"244",1993-02-01,6.25
"245",1993-03-01,6.18
"246",1993-04-01,6.3
"247",1993-05-01,6.34
"248",1993-06-01,6.16
"249",1993-07-01,5.93
"250",1993-08-01,5.73
"251",1993-09-01,5.61
"252",1993-10-01,5.28
"253",1993-11-01,5.1
"254",1993-12-01,4.91
"255",1994-01-01,5
"256",1994-02-01,5.57
"257",1994-03-01,5.61
"258",1994-04-01,5.81
"259",1994-05-01,5.95
"260",1994-06-01,6.14
"261",1994-07-01,6.03
"262",1994-08-01,6.36
"263",1994-09-01,6.77
"264",1994-10-01,6.72
"265",1994-11-01,6.68
"266",1994-12-01,7.06
"267",1995-01-01,6.78
"268",1995-02-01,6.62
"269",1995-03-01,5.98
"270",1995-04-01,5.83
"271",1995-05-01,5.29
"272",1995-06-01,5.74
"273",1995-07-01,5.51
"274",1995-08-01,5.28
"275",1995-09-01,5.08
"276",1995-10-01,4.89
"277",1995-11-01,4.5
"278",1995-12-01,4.31
"279",1996-01-01,4.16
"280",1996-02-01,4.6
"281",1996-03-01,4.63
"282",1996-04-01,4.41
"283",1996-05-01,4.52
"284",1996-06-01,4.86
"285",1996-07-01,4.68
"286",1996-08-01,4.48
"287",1996-09-01,4.3
"288",1996-10-01,4.26
"289",1996-11-01,4.06
"290",1996-12-01,4.03
"291",1997-01-01,3.91
"292",1997-02-01,3.91
"293",1997-03-01,4.19
"294",1997-04-01,4.09
"295",1997-05-01,4.18
"296",1997-06-01,3.95
"297",1997-07-01,4.15
"298",1997-08-01,4.36
"299",1997-09-01,4.43
"300",1997-10-01,4.7
"301",1997-11-01,4.63
"302",1997-12-01,4.48
"303",1998-01-01,4.18
"304",1998-02-01,4.17
"305",1998-03-01,4.31
"306",1998-04-01,4.46
"307",1998-05-01,4.26
