"","dates","values"
"220",1991-01-01,8.99
"221",1991-02-01,8.63
"222",1991-03-01,8.68
"223",1991-04-01,8.74
"224",1991-05-01,8.64
"225",1991-06-01,8.8
"226",1991-07-01,9.09
"227",1991-08-01,8.89
"228",1991-09-01,8.92
"229",1991-10-01,8.99
"230",1991-11-01,9
"231",1991-12-01,8.97
"232",1992-01-01,8.5
"233",1992-02-01,8.55
"234",1992-03-01,8.81
"235",1992-04-01,8.93
"236",1992-05-01,8.89
"237",1992-06-01,9.01
"238",1992-07-01,9.11
"239",1992-08-01,9.1
"240",1992-09-01,8.12
"241",1992-10-01,7.48
"242",1992-11-01,7.33
"243",1992-12-01,7.16
"244",1993-01-01,7.01
"245",1993-02-01,6.36
"246",1993-03-01,6.21
"247",1993-04-01,6.36
"248",1993-05-01,6.38
"249",1993-06-01,6.21
"250",1993-07-01,5.93
"251",1993-08-01,5.74
"252",1993-09-01,5.66
"253",1993-10-01,5.33
"254",1993-11-01,5.12
"255",1993-12-01,4.95
"256",1994-01-01,5
"257",1994-02-01,5.51
"258",1994-03-01,5.47
"259",1994-04-01,5.55
"260",1994-05-01,5.6
"261",1994-06-01,5.74
"262",1994-07-01,5.63
"263",1994-08-01,5.93
"264",1994-09-01,6.38
"265",1994-10-01,6.26
"266",1994-11-01,6.26
"267",1994-12-01,6.65
"268",1995-01-01,6.34
"269",1995-02-01,6.24
"270",1995-03-01,5.54
"271",1995-04-01,5.4
"272",1995-05-01,4.89
"273",1995-06-01,5.28
"274",1995-07-01,5.05
"275",1995-08-01,4.78
"276",1995-09-01,4.54
"277",1995-10-01,4.41
"278",1995-11-01,4.06
"279",1995-12-01,3.86
"280",1996-01-01,3.65
"281",1996-02-01,3.99
"282",1996-03-01,4.01
"283",1996-04-01,3.8
"284",1996-05-01,3.94
"285",1996-06-01,4.29
"286",1996-07-01,4.09
"287",1996-08-01,3.88
"288",1996-09-01,3.74
"289",1996-10-01,3.74
"290",1996-11-01,3.63
"291",1996-12-01,3.55
"292",1997-01-01,3.47
"293",1997-02-01,3.55
"294",1997-03-01,3.75
"295",1997-04-01,3.66
"296",1997-05-01,3.72
"297",1997-06-01,3.54
"298",1997-07-01,3.78
"299",1997-08-01,3.96
"300",1997-09-01,4.09
"301",1997-10-01,4.39
"302",1997-11-01,4.34
"303",1997-12-01,4.2
"304",1998-01-01,3.93
"305",1998-02-01,3.94
"306",1998-03-01,4.09
"307",1998-04-01,4.22
"308",1998-05-01,4.03
"309",1998-06-01,4.02
"310",1998-07-01,3.97
"311",1998-08-01,3.54
"312",1998-09-01,3.48
"313",1998-10-01,3.38
"314",1998-11-01,3.31
"315",1998-12-01,3.14
"316",1999-01-01,2.89
"317",1999-02-01,3.13
"318",1999-03-01,2.94
"319",1999-04-01,2.73
"320",1999-05-01,2.84
"321",1999-06-01,3.27
"322",1999-07-01,3.46
"323",1999-08-01,3.62
"324",1999-09-01,3.73
"325",1999-10-01,4.04
"326",1999-11-01,4.1
"327",1999-12-01,4.26
"328",2000-01-01,4.48
"329",2000-02-01,4.51
"330",2000-03-01,4.48
"331",2000-04-01,4.7
"332",2000-05-01,5.02
"333",2000-06-01,4.99
"334",2000-07-01,5.16
"335",2000-08-01,5.26
"336",2000-09-01,5.1
"337",2000-10-01,5.12
"338",2000-11-01,4.9
"339",2000-12-01,4.51
"340",2001-01-01,4.39
