"","1995-09-06","1995-12-07","1996-03-07","1996-06-05","1996-09-05","1996-12-04","1997-03-04","1997-06-05","1997-09-10","1997-12-04","1998-02-27","1998-06-04","1998-09-09","1998-12-03","1999-03-04","1999-05-28","1999-06-08","1999-09-09","1999-12-07","2000-03-28","2000-05-30","2000-08-29","2000-11-28","2001-03-01","2001-05-23","2001-08-23","2001-11-22","2002-02-27","2002-05-23","2002-08-22","2002-11-21","2003-02-26","2003-05-22","2003-08-21","2003-11-20","2004-02-19","2004-05-25","2004-08-24","2004-11-23","2005-02-22","2005-05-24","2005-08-23","2005-11-22","2006-02-22","2006-05-23","2006-08-24","2006-11-23","2007-02-22","2007-05-24","2007-08-23","2007-11-22","2008-02-26","2008-05-27","2008-08-26","2008-11-25","2009-02-25","2009-05-26","2009-08-25","2009-11-24","2010-02-24","2010-05-21","2010-08-24","2010-11-23","2011-02-24","2011-05-24","2011-09-01","2011-11-24","2012-02-24","2012-05-24","2012-08-23","2012-11-23","2013-02-22","2013-05-24","2013-08-23","2013-11-22","2014-02-25","2014-05-23","2014-09-01","2014-11-25","2015-02-24","2015-05-22","2015-08-25","2015-11-24","2016-02-23","2016-05-24","2016-08-24","2016-11-24","2017-02-23","2017-05-23","2017-08-25","2017-11-23","2018-02-23","2018-05-24","2018-08-24","2018-11-23","2019-02-22","2019-05-23","2019-08-27","2019-11-22","2020-02-25","2020-05-25","2020-08-25","2020-11-24","2021-02-24","2021-05-25","2021-08-24","2021-11-25","2022-02-25","2022-05-25","2022-08-25","2022-11-25","2023-02-24","2023-05-25","2023-08-25","2023-10-12","2023-11-24","2024-02-23","2024-05-24","2024-08-30","2024-11-22","2025-02-25","2025-05-23","2025-08-22","2025-11-25"
"1993-07",172.3,172.3,172.3,172.8,172.8,172.6,172.3,172.3,172.6,172.4,172.2,172.2,172.5,172.4,172.2,182.2,93.1,93.1,93.3,93.1,93.43,93.46,93.48,,,,,93.52,93.52,93.45,93.45,93.45,93.42,93.46,93.46,93.46,93.4,93.53,93.53,93.51,93.89,93.67,93.67,93.67,93.67,93.75,93.75,93.75,93.75,93.82,93.82,93.82,93.82,93.92,93.92,93.92,93.92,93.9,93.9,93.9,93.9,93.85,93.85,93.85,93.86,92.74,92.74,92.74,92.74,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,87.925,87.925,87.925,88.008,87.973,87.973,87.973,87.973,88.178,88.178,88.178,88.182,88.187,88.187,88.187,88.187,88.178,88.178,88.178,88.178,88.066,88.073,88.073,88.073,88.083,88.083,88.083,88.083,87.964,87.964,87.964,87.964,88.072,88.072,88.072,88.066,88.069,88.069,88.069,88.069,88.069,86.46,86.46,86.46,86.462,86.421,86.421
"1993-10",175.3,175.3,175.3,174.5,175.9,175.8,177.1,177.1,177.2,177.2,177.5,177.4,177.1,177.4,177.5,186.7,95.5,95.5,95.4,95.4,95.38,95.48,95.47,,,,,95.5,95.5,95.26,95.26,95.26,95.27,95.31,95.31,95.31,95.37,95.32,95.32,95.33,95.55,95.66,95.66,95.66,95.66,95.73,95.73,95.73,95.73,95.57,95.57,95.57,95.57,95.39,95.39,95.39,95.39,95.38,95.38,95.38,95.38,95.43,95.43,95.43,95.46,94.3,94.3,94.3,94.3,94.39,94.39,94.39,94.39,94.3,94.3,94.3,94.3,89.726,89.726,89.726,89.774,89.764,89.764,89.764,89.764,89.837,89.837,89.837,89.837,89.824,89.824,89.824,89.824,89.814,89.814,89.814,89.814,89.657,89.637,89.637,89.637,89.638,89.638,89.638,89.638,89.673,89.673,89.673,89.673,89.625,89.625,89.625,89.629,89.65,89.65,89.65,89.65,89.624,87.894,87.894,87.894,87.895,87.895,87.895
"1994-01",179.4,179.4,179.4,180.3,180.9,180.6,180.6,180.6,180.1,180.3,180.1,180.3,180.4,180.3,180.3,191.2,97.8,97.9,97.8,97.8,97.76,97.69,97.67,,,,,97.86,97.86,97.96,97.96,97.96,97.98,97.92,97.92,97.92,97.91,97.91,97.91,97.92,98.52,98.55,98.55,98.55,98.55,98.64,98.64,98.64,98.64,98.75,98.75,98.75,98.75,98.79,98.79,98.79,98.79,98.78,98.78,98.78,98.78,98.75,98.75,98.75,98.73,97.71,97.71,97.71,97.71,97.68,97.68,97.68,97.68,97.65,97.65,97.65,97.65,92.821,92.821,92.821,92.721,92.713,92.713,92.713,92.713,92.757,92.757,92.757,92.757,92.775,92.775,92.775,92.775,92.776,92.776,92.776,92.776,92.661,92.661,92.661,92.661,92.615,92.615,92.615,92.615,92.698,92.698,92.698,92.698,92.658,92.658,92.658,92.66,92.669,92.669,92.669,92.669,92.709,91.044,91.044,91.044,91.044,91.042,91.042
"1994-04",189.4,189.4,189.4,189.2,189.8,190.2,189.9,189.9,190.6,190.7,190.7,190.7,190.7,190.6,190.6,202.1,103.4,103.3,103.4,103.5,102.92,102.94,102.94,102.97,,,,102.9,102.9,102.92,102.92,102.92,102.93,102.85,102.85,102.85,102.84,102.75,102.75,102.75,103.36,103.44,103.44,103.44,103.44,103.24,103.24,103.24,103.24,103.28,103.28,103.28,103.28,103.31,103.31,103.31,103.31,103.39,103.39,103.39,103.39,103.31,103.31,103.31,103.3,102.38,102.38,102.38,102.38,102.34,102.34,102.34,102.34,102.38,102.38,102.38,102.38,97.694,97.694,97.694,97.718,97.688,97.688,97.688,97.688,97.366,97.366,97.366,97.365,97.408,97.408,97.408,97.408,97.391,97.391,97.391,97.391,97.175,97.175,97.175,97.175,97.162,97.162,97.162,97.162,97.206,97.206,97.206,97.206,97.248,97.248,97.248,97.25,97.271,97.271,97.271,97.271,97.257,95.361,95.361,95.361,95.361,95.363,95.363
"1994-07",189.3,189.3,189.3,189.7,191.3,191.2,190.9,190.9,190.8,190.5,190.2,190.2,190.5,190.4,190,200.7,102.6,102.5,102.6,102.4,102.76,102.82,102.87,102.82,,,,102.82,102.82,102.83,102.83,102.83,102.79,102.78,102.78,102.78,102.73,102.89,102.89,102.87,103.47,103.28,103.28,103.28,103.28,103.37,103.37,103.37,103.37,103.45,103.45,103.45,103.45,103.51,103.51,103.51,103.51,103.48,103.48,103.48,103.48,103.42,103.42,103.42,103.44,102.21,102.21,102.21,102.21,102.19,102.19,102.19,102.19,102.19,102.19,102.19,102.19,96.957,96.957,96.957,97.06,97.049,97.049,97.049,97.049,97.257,97.257,97.257,97.26,97.254,97.254,97.254,97.254,97.239,97.239,97.239,97.239,97.009,97.009,97.009,97.009,96.987,96.987,96.987,96.987,96.899,96.899,96.899,96.899,97.023,97.023,97.023,97.019,97.019,97.019,97.019,97.019,97.006,95.097,95.097,95.097,95.097,95.032,95.032
"1994-10",192.7,192.7,192.7,191.7,194.7,194.7,193.6,193.6,192.5,192.6,193,192.9,192.5,192.9,193.2,203.9,104.3,104.3,104.2,104.2,104.43,104.56,104.53,104.53,104.53,,,104.49,104.49,104.28,104.28,104.28,104.29,104.33,104.33,104.33,104.37,104.24,104.24,104.24,104.83,104.9,104.9,104.9,104.9,105,105,105,105,104.79,104.79,104.79,104.79,104.61,104.61,104.61,104.61,104.6,104.6,104.6,104.6,104.75,104.75,104.75,104.77,103.68,103.68,103.68,103.68,103.8,103.8,103.8,103.8,103.73,103.73,103.73,103.73,98.44,98.44,98.44,98.414,98.396,98.396,98.396,98.396,98.445,98.445,98.445,98.444,98.457,98.457,98.457,98.457,98.464,98.464,98.464,98.464,98.373,98.373,98.373,98.373,98.377,98.377,98.377,98.377,98.363,98.363,98.363,98.363,98.342,98.342,98.342,98.344,98.368,98.368,98.368,98.368,98.354,96.346,96.346,96.346,96.346,96.374,96.374
"1995-01",191.6,191.6,191.5,192.9,198.8,198.6,198.3,198.3,200,200.3,200.7,201,201.3,201.2,201.1,211.4,108.2,108.4,108.3,108.3,107.98,107.92,107.88,107.92,107.92,,,108.16,108.16,108.3,108.3,108.3,108.31,108.27,108.27,108.27,108.26,108.28,108.28,108.28,108.9,108.91,108.91,108.91,108.91,109.01,109.01,109.01,109.01,109.12,109.12,109.12,109.12,109.22,109.22,109.22,109.22,109.16,109.16,109.16,109.16,109.11,109.11,109.11,109.08,108.05,108.05,108.05,108.05,108,108,108,108,107.95,107.95,107.95,107.95,102.92,102.92,102.92,102.904,102.869,102.869,102.869,102.869,102.912,102.912,102.912,102.909,102.935,102.935,102.935,102.935,102.915,102.913,102.913,102.913,102.73,102.73,102.73,102.73,102.646,102.646,102.646,102.646,102.726,102.726,102.726,102.726,102.712,102.712,102.712,102.713,102.727,102.727,102.727,102.727,102.727,100.834,100.834,100.834,100.832,100.78,100.78
"1995-04",198.7,198.7,198.4,197.9,204.1,204,204.2,204.2,206,206.1,206.7,206.7,206.8,206.5,206.5,217,111,110.5,110.7,110.8,110.41,110.42,110.44,110.48,110.48,,,110.38,110.38,110.26,110.26,110.26,110.27,110.22,110.22,110.22,110.2,110.15,110.15,110.15,110.2,110.23,110.23,110.23,110.23,110.1,110.1,110.1,110.1,110.18,110.18,110.18,110.18,110.2,110.2,110.2,110.2,110.29,110.29,110.29,110.29,110.2,110.2,110.2,110.19,109.33,109.33,109.33,109.33,109.31,109.31,109.31,109.31,109.39,109.39,109.39,109.39,104.002,104.002,104.002,104.037,104.018,104.018,104.018,104.018,103.777,103.779,103.779,103.778,103.812,103.812,103.812,103.812,103.79,103.797,103.797,103.797,103.439,103.439,103.439,103.439,103.431,103.431,103.431,103.431,103.476,103.476,103.476,103.476,103.533,103.533,103.533,103.535,103.569,103.569,103.569,103.569,103.569,101.452,101.452,101.452,101.45,101.496,101.496
"1995-07",,197.7,199.7,199.9,206.6,206.8,206.7,206.7,205.5,205,205.4,205.4,205.6,205.6,205,215.7,110.2,110.1,110.1,109.9,110.39,110.46,110.54,110.46,110.46,,,110.32,110.32,110.38,110.38,110.38,110.33,110.28,110.28,110.28,110.23,110.43,110.43,110.41,110.75,110.72,110.72,110.72,110.72,110.81,110.81,110.81,110.81,110.91,110.91,110.91,110.91,110.93,110.93,110.93,110.93,110.91,110.91,110.91,110.91,110.85,110.85,110.85,110.86,109.84,109.84,109.84,109.84,109.81,109.81,109.81,109.81,109.84,109.84,109.84,109.84,104.532,104.532,104.532,104.649,104.644,104.644,104.644,104.644,104.839,104.839,104.839,104.843,104.833,104.833,104.833,104.833,104.835,104.833,104.833,104.833,104.383,104.383,104.383,104.383,104.403,104.403,104.403,104.403,104.314,104.314,104.314,104.314,104.477,104.477,104.477,104.474,104.476,104.476,104.476,104.476,104.476,102.278,102.278,102.278,102.282,102.254,102.254
"1995-10",,,206.5,205.4,208.1,208.2,207,207,205.6,205.7,207,206.8,206.5,206.9,207.6,218.8,111.8,111.8,111.8,111.8,112.32,112.45,112.39,112.38,112.38,,,112.32,112.32,112.06,112.06,112.06,112.09,112.11,112.11,112.11,112.17,111.91,111.91,111.92,112.88,112.87,112.87,112.87,112.87,113,113,113,113,112.7,112.7,112.7,112.7,112.51,112.51,112.51,112.51,112.51,112.51,112.51,112.51,112.75,112.75,112.75,112.77,111.81,111.81,111.81,111.81,111.95,111.95,111.95,111.95,111.85,111.85,111.85,111.85,106.567,106.567,106.567,106.43,106.44,106.44,106.44,106.44,106.486,106.486,106.486,106.486,106.481,106.481,106.481,106.481,106.499,106.497,106.497,106.497,106.261,106.261,106.261,106.261,106.253,106.253,106.253,106.253,106.271,106.271,106.271,106.271,106.147,106.147,106.147,106.148,106.151,106.151,106.151,106.151,106.151,103.821,103.821,103.821,103.819,103.861,103.861
