"","2005-05-12","2005-08-11","2005-11-15","2006-02-14","2006-05-11","2006-08-14","2006-11-14","2007-02-13","2007-05-15","2007-08-14","2007-11-14","2008-02-14","2008-05-15","2008-08-14","2008-11-13","2009-02-13","2009-05-15","2009-08-13","2009-11-13","2010-02-12","2010-05-12","2010-08-13","2010-11-12","2011-02-15","2011-05-13","2011-08-16","2011-11-15","2012-02-15","2012-05-15","2012-08-14","2012-11-15","2013-02-14","2013-05-15","2013-08-14","2013-11-14","2014-02-14","2014-05-15","2014-08-14","2014-11-14","2015-02-13","2015-05-13","2015-08-14","2015-11-13","2016-02-12","2016-05-13","2016-08-12","2016-11-15","2017-02-14","2017-05-12","2017-08-15","2017-11-14","2018-02-14","2018-05-15","2018-08-14","2018-11-14","2019-02-14","2019-05-15","2019-08-14","2019-11-14","2020-02-14","2020-05-15","2020-07-30","2020-08-25","2020-10-30","2020-11-24","2021-01-29","2021-02-24","2021-04-30","2021-05-25","2021-07-30","2021-08-24","2021-10-29","2021-11-25","2022-01-28","2022-02-25","2022-04-29","2022-05-25","2022-07-29","2022-08-25","2022-10-28","2022-11-25","2023-01-30","2023-02-24","2023-04-28","2023-05-25","2023-07-28","2023-08-25","2023-10-12","2023-10-30","2023-11-24","2024-01-30","2024-02-23","2024-04-30","2024-05-24","2024-07-30","2024-08-30","2024-10-30","2024-11-22","2025-01-30","2025-02-25","2025-04-30","2025-05-23","2025-07-30","2025-08-22"
"2014-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.4,105.67,105.77,105.78,105.78,105.99,105.99,105.99,105.99,106.23,106.23,106.23,106.23,106.59,106.59,106.59,106.59,106.73,106.73,106.73,106.73,98,98,98,98,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.21,98.21,98.21,98.21,98.21,98.21,98.21,98.21,98.23,98.24,98.24,98.24,98.24,98.24,98.24,98.24,98.24,98.24,98.24,98.24,98.24,98.24,98.24,98.24,98.24,95.31,95.31,95.31,95.31,95.31,95.31,95.31,95.31,95.33,95.33
"2014-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.5,105.68,105.69,105.69,105.93,105.93,105.93,105.93,106.12,106.12,106.12,106.12,106.41,106.41,106.41,106.41,106.67,106.67,106.67,106.67,97.97,97.97,97.97,97.97,98.23,98.23,98.23,98.23,98.23,98.23,98.23,98.23,98.21,98.21,98.21,98.21,98.21,98.21,98.21,98.21,98.25,98.24,98.24,98.24,98.24,98.24,98.24,98.24,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,95.34,95.34,95.34,95.34,95.34,95.34,95.34,95.34,95.31,95.31
"2014-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.75,105.76,105.76,106.13,106.13,106.13,106.13,106.42,106.42,106.42,106.42,106.75,106.75,106.75,106.75,107.04,107.04,107.04,107.04,98.45,98.45,98.45,98.45,98.71,98.71,98.71,98.71,98.71,98.71,98.71,98.71,98.74,98.74,98.74,98.74,98.74,98.74,98.74,98.74,98.74,98.74,98.74,98.74,98.74,98.74,98.74,98.74,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.84,95.84
"2014-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5,106.5,106.78,106.78,106.78,106.78,107.26,107.26,107.26,107.26,107.7,107.7,107.7,107.7,108.07,108.06,108.06,108.06,99.3,99.3,99.3,99.3,99.53,99.53,99.53,99.53,99.53,99.53,99.53,99.53,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.53,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.53,99.53,99.53,99.53,99.53,99.53,99.53,99.53,99.53,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.57,96.57
"2015-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.79,107.15,107.15,107.21,107.21,107.44,107.44,107.44,107.44,107.82,107.82,107.82,107.82,107.92,107.92,107.92,107.92,99.1,99.1,99.1,99.1,99.03,99.03,99.03,99.03,99.03,99.03,99.03,99.03,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.03,99.03,99.03,99.03,99.03,99.03,99.03,99.03,99.03,99.03,99.03,99.03,99.03,99.03,99.03,99.03,99.03,96.32,96.32,96.32,96.32,96.32,96.32,96.32,96.32,96.36,96.36
"2015-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.62,107.62,107.63,107.63,108,108,108,108,108.3,108.3,108.3,108.3,108.56,108.55,108.55,108.55,99.72,99.72,99.72,99.72,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.77,99.76,99.76,99.76,99.76,99.76,99.76,99.76,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.86,96.86
"2015-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.96,107.93,107.93,108.26,108.26,108.26,108.26,108.65,108.65,108.65,108.65,108.89,108.9,108.9,108.9,100.17,100.17,100.17,100.17,100.17,100.17,100.17,100.17,100.17,100.17,100.17,100.17,100.22,100.22,100.22,100.22,100.22,100.22,100.22,100.22,100.2,100.21,100.21,100.21,100.21,100.21,100.21,100.21,100.19,100.19,100.19,100.19,100.19,100.19,100.19,100.19,100.19,97.36,97.36,97.36,97.36,97.36,97.36,97.36,97.36,97.38,97.38
"2015-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.22,108.22,108.65,108.65,108.65,108.65,109.11,109.11,109.11,109.11,109.49,109.49,109.49,109.49,100.61,100.61,100.61,100.61,100.64,100.64,100.64,100.64,100.64,100.64,100.64,100.64,100.65,100.65,100.65,100.65,100.65,100.65,100.65,100.65,100.64,100.65,100.65,100.65,100.65,100.65,100.65,100.65,100.64,100.64,100.64,100.64,100.64,100.64,100.64,100.64,100.64,97.82,97.81,97.81,97.81,97.81,97.81,97.81,97.81,97.88,97.88
"2016-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.94,109.42,109.42,109.43,109.43,109.8,109.8,109.8,109.8,110.49,110.49,110.49,110.49,101.41,101.41,101.41,101.41,101.51,101.51,101.51,101.51,101.51,101.51,101.51,101.51,101.47,101.47,101.47,101.47,101.47,101.47,101.47,101.47,101.48,101.49,101.49,101.49,101.49,101.49,101.49,101.49,101.49,101.49,101.49,101.49,101.49,101.49,101.49,101.49,101.49,98.76,98.76,98.76,98.76,98.76,98.76,98.76,98.76,98.74,98.74
"2016-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.87,109.87,109.94,109.94,110.31,110.31,110.31,110.31,110.98,110.98,110.98,110.98,101.99,101.99,101.99,101.99,101.91,101.91,101.91,101.91,101.91,101.91,101.91,101.91,101.89,101.89,101.89,101.89,101.89,101.89,101.89,101.89,101.95,101.94,101.94,101.94,101.94,101.94,101.94,101.94,101.98,101.98,101.98,101.98,101.98,101.98,101.98,101.98,101.98,99.09,99.08,99.08,99.08,99.08,99.08,99.08,99.08,98.96,98.96
"2016-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.08,110.09,110.12,110.68,110.68,110.68,110.68,111.17,111.17,111.17,111.17,102.2,102.2,102.2,102.2,102.16,102.16,102.16,102.16,102.16,102.16,102.16,102.16,102.24,102.24,102.24,102.24,102.24,102.24,102.24,102.24,102.21,102.2,102.2,102.2,102.2,102.2,102.2,102.2,102.18,102.18,102.18,102.18,102.18,102.18,102.18,102.18,102.18,99.36,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.31,99.31
"2016-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.56,110.58,111.14,111.14,111.14,111.14,111.6,111.6,111.6,111.6,102.57,102.57,102.57,102.57,102.55,102.55,102.55,102.55,102.55,102.55,102.55,102.55,102.56,102.56,102.56,102.56,102.56,102.56,102.56,102.56,102.57,102.57,102.57,102.57,102.57,102.57,102.57,102.57,102.57,102.57,102.57,102.57,102.57,102.57,102.57,102.57,102.57,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.77,99.77
"2017-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.25,111.93,112.13,112.14,112.14,112.84,112.84,112.84,112.84,103.79,103.79,103.79,103.79,103.81,103.81,103.81,103.81,103.81,103.81,103.81,103.81,103.81,103.81,103.81,103.81,103.81,103.81,103.81,103.81,103.79,103.81,103.81,103.81,103.81,103.81,103.81,103.81,103.8,103.8,103.8,103.8,103.8,103.8,103.8,103.8,103.8,100.96,100.97,100.97,100.97,100.97,100.97,100.97,100.97,101.06,101.06
"2017-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.62,112.84,112.85,112.85,113.46,113.46,113.46,113.46,104.37,104.37,104.37,104.37,104.49,104.49,104.49,104.49,104.49,104.49,104.49,104.49,104.62,104.62,104.62,104.62,104.62,104.62,104.62,104.62,104.71,104.69,104.69,104.69,104.69,104.69,104.69,104.69,104.76,104.76,104.76,104.76,104.76,104.76,104.76,104.76,104.76,101.86,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.78,101.78
"2017-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.77,113.68,113.68,114.12,114.12,114.12,114.12,105.27,105.27,105.27,105.27,105.41,105.41,105.41,105.41,105.41,105.41,105.41,105.41,105.54,105.54,105.54,105.54,105.54,105.54,105.54,105.54,105.46,105.46,105.46,105.46,105.46,105.46,105.46,105.46,105.42,105.42,105.42,105.42,105.42,105.42,105.42,105.42,105.42,102.55,102.56,102.56,102.56,102.56,102.56,102.56,102.56,102.59,102.59
"2017-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.37,114.37,114.73,114.73,114.73,114.73,106.04,106.04,106.04,106.04,106.29,106.29,106.29,106.29,106.29,106.29,106.29,106.29,106.39,106.39,106.39,106.39,106.39,106.39,106.39,106.39,106.41,106.42,106.42,106.42,106.42,106.42,106.42,106.42,106.42,106.42,106.42,106.42,106.42,106.42,106.42,106.42,106.42,103.56,103.54,103.54,103.54,103.54,103.54,103.54,103.54,103.63,103.63
"2018-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.71,115.15,115.15,115.16,115.16,106.18,106.18,106.18,106.18,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,105.93,105.93,105.93,105.93,105.93,105.93,105.93,105.93,105.77,105.8,105.8,105.8,105.8,105.8,105.8,105.8,105.78,105.78,105.78,105.78,105.78,105.78,105.78,105.78,105.78,103.03,103.04,103.04,103.04,103.04,103.04,103.04,103.04,103.06,103.06
"2018-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.67,115.67,115.68,115.68,106.59,106.59,106.59,106.59,106.57,106.57,106.57,106.57,106.57,106.57,106.57,106.57,106.52,106.52,106.52,106.52,106.52,106.52,106.52,106.52,106.58,106.55,106.55,106.55,106.55,106.55,106.55,106.55,106.64,106.64,106.64,106.64,106.64,106.64,106.64,106.64,106.64,103.8,103.79,103.79,103.79,103.79,103.79,103.79,103.79,103.87,103.87
"2018-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.44,115.45,115.45,106.48,106.48,106.48,106.48,106.22,106.22,106.22,106.22,106.22,106.22,106.22,106.22,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,105.72,105.71,105.71,105.71,105.71,105.71,105.71,105.71,105.65,105.65,105.65,105.65,105.65,105.65,105.65,105.65,105.65,103.02,103.04,103.04,103.04,103.04,103.04,103.04,103.04,103.19,103.19
"2018-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.47,115.47,106.7,106.7,106.7,106.7,106.58,106.58,106.58,106.58,106.58,106.58,106.58,106.58,106.48,106.48,106.48,106.48,106.48,106.48,106.48,106.48,106.55,106.55,106.55,106.55,106.55,106.55,106.55,106.55,106.56,106.56,106.56,106.56,106.56,106.56,106.56,106.56,106.56,103.7,103.69,103.69,103.69,103.69,103.69,103.69,103.69,103.65,103.65
"2019-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.96,107.11,107.2,107.21,107.21,107.23,107.23,107.23,107.23,107.23,107.23,107.23,107.23,107.6,107.6,107.6,107.6,107.6,107.6,107.6,107.6,107.26,107.31,107.31,107.31,107.31,107.31,107.31,107.31,107.29,107.29,107.29,107.29,107.29,107.29,107.29,107.29,107.29,104.25,104.27,104.27,104.27,104.27,104.27,104.27,104.27,104.33,104.33
"2019-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.03,106.94,106.95,106.95,106.69,106.69,106.69,106.69,106.69,106.69,106.69,106.69,107.07,107.07,107.07,107.07,107.07,107.07,107.07,107.07,107.17,107.13,107.13,107.13,107.13,107.13,107.13,107.13,107.25,107.25,107.25,107.25,107.25,107.25,107.25,107.25,107.25,104.36,104.34,104.34,104.34,104.34,104.34,104.34,104.34,104.39,104.39
"2019-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.03,107.16,107.23,107.02,107.02,107.02,107.02,107.02,107.02,107.02,107.02,107.51,107.51,107.51,107.51,107.51,107.51,107.51,107.51,107.27,107.25,107.25,107.25,107.25,107.25,107.25,107.25,107.23,107.23,107.23,107.23,107.23,107.23,107.23,107.23,107.23,104.6,104.62,104.62,104.62,104.62,104.62,104.62,104.62,104.79,104.79
"2019-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.19,107.12,107,107,107,107,107,107,107,107,107.43,107.43,107.43,107.43,107.43,107.43,107.43,107.43,107.52,107.53,107.53,107.53,107.53,107.53,107.53,107.53,107.55,107.55,107.55,107.55,107.55,107.55,107.55,107.55,107.55,104.6,104.58,104.58,104.58,104.58,104.58,104.58,104.58,104.44,104.44
"2020-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.74,104.84,104.84,104.97,104.97,104.87,104.87,104.87,104.87,105.54,105.54,105.54,105.54,105.54,105.54,105.54,105.54,105.96,106,106,106,106,106,106,106,105.65,105.65,105.65,105.65,105.65,105.65,105.65,105.65,105.65,102.26,102.28,102.28,102.28,102.28,102.28,102.28,102.28,102.32,102.32
"2020-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.26,94.68,94.69,94.69,94.69,94.69,94.7,94.7,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99,95.99,95.95,95.95,95.95,95.95,95.95,95.95,95.95,95.91,95.91,95.91,95.91,95.91,95.91,95.91,95.91,95.91,93.2,93.18,93.18,93.18,93.18,93.18,93.18,93.18,93.24,93.24
"2020-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.49,102.72,102.75,102.75,102.94,102.94,103.58,103.58,103.58,103.58,103.58,103.58,103.58,103.58,104.61,104.59,104.59,104.59,104.59,104.59,104.59,104.59,104.46,104.46,104.46,104.46,104.46,104.46,104.46,104.46,104.46,101.26,101.29,101.29,101.29,101.29,101.29,101.29,101.29,101.33,101.33
"2020-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.85,103.1,103.49,103.49,104.35,104.35,104.35,104.35,104.35,104.35,104.35,104.35,105.24,105.24,105.24,105.24,105.24,105.24,105.24,105.24,105.28,105.28,105.28,105.28,105.28,105.28,105.28,105.28,105.28,102.47,102.44,102.44,102.44,102.44,102.44,102.44,102.44,102.31,102.31
"2021-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.74,101.62,102.21,102.26,102.4,102.4,102.59,102.59,102.59,102.59,103.64,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,101.21,101.3,101.3,101.3,101.3,101.3,101.3,101.3,101.68,101.68
"2021-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.73,103.93,104.35,104.47,104.82,104.82,104.82,104.82,105.75,105.7,105.7,105.7,105.7,105.7,105.7,105.7,106.26,106.26,106.26,106.26,106.26,106.26,106.26,106.26,106.26,103.74,103.88,103.88,103.88,103.88,103.88,103.88,103.88,104.07,104.07
"2021-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.21,106.24,106.56,106.57,106.57,106.57,106.54,106.53,106.53,106.53,106.53,106.53,106.53,106.53,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,103.88,103.92,103.92,103.92,103.92,103.92,103.92,103.92,104.16,104.16
"2021-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.78,106.2,106.2,106.2,106.49,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.98,106.98,106.98,106.98,106.98,106.98,106.98,106.98,106.98,104.5,104.56,104.56,104.56,104.56,104.56,104.56,104.56,104.72,104.72
"2022-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.41,106.45,107.33,107.35,107.35,107.35,107.35,107.35,107.59,107.59,108.05,108.05,108.05,108.05,108.05,108.05,108.05,108.05,108.05,104.94,104.75,104.75,104.75,104.75,104.75,104.75,104.75,105.43,105.43
"2022-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.29,107.5,107.46,107.46,107.46,107.46,107.46,107.46,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,104.93,104.73,104.73,104.73,104.73,104.73,104.73,104.73,105.59,105.59
"2022-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.75,107.89,107.97,107.97,107.97,107.97,108.3,108.3,108.3,108.3,108.3,108.3,108.3,108.3,108.3,105.6,105.35,105.35,105.35,105.35,105.35,105.35,105.35,105.9,105.9
"2022-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.71,107.5,107.39,107.39,107.86,107.86,107.86,107.86,107.86,107.86,107.86,107.86,107.86,105.04,104.81,104.81,104.81,104.81,104.81,104.81,104.81,105.53,105.53
"2023-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.44,107.03,107.76,107.76,107.76,107.83,107.86,107.97,107.97,108.15,108.15,105.17,104.96,104.96,104.96,104.96,104.96,104.96,104.96,105.03,105.03
"2023-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.78,107.78,107.78,107.98,108.01,108,108,108.07,108.07,105.02,104.8,104.8,104.8,104.8,104.8,104.8,104.8,104.95,104.95
"2023-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.9,107.87,107.99,107.99,108.22,108.22,105.24,105,105,105,105,105,105,105,104.95,104.95
"2023-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.68,107.68,107.68,107.68,104.83,104.61,104.61,104.61,104.61,104.61,104.61,104.61,104.66,104.66
"2024-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.91,107.91,105.04,104.85,104.85,104.85,104.86,104.86,104.86,104.86,104.55,104.55
"2024-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.96,104.78,104.55,104.55,104.55,104.55,104.55,104.55,104.28,104.28
"2024-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.74,104.66,104.66,104.66,104.66,104.66,104.3,104.3
"2024-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.45,104.45,104.45,104.45,104.49,104.49
"2025-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.67,104.88,104.81,104.81
"2025-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.73,104.52
