"","2005-05-24","2005-08-23","2005-11-22","2006-02-22","2006-05-23","2006-08-24","2006-11-23","2007-02-22","2007-05-24","2007-08-23","2007-11-22","2008-02-26","2008-05-27","2008-08-26","2008-11-25","2009-02-25","2009-05-26","2009-08-25","2009-11-24","2010-02-24","2010-05-21","2010-08-24","2010-11-23","2011-02-24","2011-05-24","2011-09-01","2011-11-24","2012-02-24","2012-05-24","2012-08-23","2012-11-23","2013-02-22","2013-05-24","2013-08-23","2013-11-22","2014-02-25","2014-05-23","2014-09-01","2014-11-25","2015-02-24","2015-05-22","2015-08-25","2015-11-24","2016-02-23","2016-05-24","2016-08-24","2016-11-24","2017-02-23","2017-05-23","2017-08-25","2017-11-23","2018-02-23","2018-05-24","2018-08-24","2018-11-23","2019-02-22","2019-05-23","2019-08-27","2019-11-22","2020-02-25","2020-05-25","2020-08-25","2020-11-24","2021-02-24","2021-05-25","2021-08-24","2021-11-25","2022-02-25","2022-05-25","2022-08-25","2022-11-25","2023-02-24","2023-05-25","2023-08-25","2023-10-12","2023-11-24","2024-02-23","2024-05-24","2024-08-30","2024-11-22","2025-02-25","2025-05-23"
"1993-07",59.41,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.51,59.51,59.51,59.51,59.5,59.5,59.5,59.5,48.18,48.06,48.06,48.06,48.06,48.06,48.06,48.06,48.05,48.05,48.05,48.05,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,39.77,32.72,32.72,32.72,32.72,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.98,32.98,32.98,32.98
"1993-10",59.55,59.55,59.55,59.55,59.55,59.55,59.55,59.55,59.55,59.49,59.49,59.49,59.49,59.48,59.48,59.48,59.48,59.5,59.5,59.5,59.5,59.49,59.49,59.49,59.49,48.29,48.17,48.17,48.17,48.17,48.17,48.17,48.17,48.17,48.17,48.17,48.17,39.77,39.77,39.77,39.77,39.81,39.81,39.81,39.81,39.81,39.81,39.81,39.81,39.81,39.81,39.81,39.81,39.81,39.81,39.81,39.81,32.78,32.78,32.78,32.78,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79,33.04,33.04,33.04,33.04
"1994-01",61.17,61.09,61.09,61.09,61.09,61.1,61.1,61.1,61.1,61.16,61.16,61.16,61.16,61.15,61.15,61.15,61.15,61.14,61.14,61.14,61.14,61.12,61.12,61.12,61.12,49.18,49.06,49.06,49.06,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,40.54,40.54,40.54,40.54,40.55,40.55,40.55,40.55,40.55,40.55,40.55,40.55,40.55,40.55,40.55,40.55,40.55,40.55,40.55,40.55,33.44,33.44,33.44,33.44,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.72,33.72,33.72,33.72
"1994-04",63.36,63.37,63.37,63.37,63.37,63.37,63.37,63.37,63.37,63.35,63.35,63.35,63.35,63.36,63.36,63.36,63.36,63.36,63.36,63.36,63.36,63.35,63.35,63.35,63.35,51.31,51.18,51.18,51.18,51.19,51.19,51.19,51.19,51.18,51.18,51.18,51.18,42.36,42.36,42.36,42.36,42.37,42.37,42.37,42.37,42.37,42.37,42.37,42.37,42.37,42.37,42.37,42.37,42.37,42.37,42.37,42.37,34.94,34.94,34.94,34.94,34.96,34.96,34.96,34.96,34.95,34.95,34.95,34.95,34.95,34.95,34.95,34.95,34.95,34.95,34.95,34.95,34.95,35.18,35.18,35.18,35.18
"1994-07",64.96,65.04,65.04,65.04,65.04,65.03,65.03,65.03,65.03,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.06,65.06,65.06,65.06,52.72,52.59,52.59,52.59,52.6,52.6,52.6,52.6,52.59,52.59,52.59,52.59,43.39,43.39,43.39,43.39,43.4,43.4,43.4,43.4,43.41,43.41,43.41,43.41,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,35.73,35.73,35.73,35.73,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.74,35.88,35.88,35.88,35.88
"1994-10",66.05,66.04,66.04,66.04,66.04,66.04,66.04,66.04,66.04,65.98,65.98,65.98,65.98,65.98,65.98,65.98,65.98,65.99,65.99,65.99,65.99,66,66,66,66,53.67,53.54,53.54,53.54,53.56,53.56,53.56,53.56,53.55,53.55,53.55,53.55,44.14,44.14,44.14,44.14,44.16,44.16,44.16,44.16,44.15,44.15,44.15,44.16,44.15,44.15,44.15,44.15,44.15,44.15,44.15,44.15,36.38,36.38,36.38,36.38,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.56,36.56,36.56,36.56
"1995-01",66.66,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.64,66.64,66.64,66.64,66.62,66.62,66.62,66.62,66.62,66.62,66.62,66.62,66.59,66.59,66.59,66.59,53.82,53.69,53.69,53.69,53.68,53.68,53.68,53.68,53.67,53.67,53.67,53.67,44.4,44.4,44.4,44.4,44.43,44.43,44.43,44.43,44.44,44.44,44.44,44.43,44.44,44.44,44.44,44.44,44.45,44.45,44.45,44.45,36.6,36.6,36.6,36.6,36.61,36.61,36.61,36.61,36.61,36.61,36.61,36.61,36.61,36.6,36.6,36.61,36.61,36.61,36.61,36.61,36.61,36.72,36.72,36.72,36.72
"1995-04",68.43,68.43,68.43,68.43,68.43,68.43,68.43,68.43,68.43,68.42,68.42,68.42,68.42,68.43,68.43,68.43,68.43,68.43,68.43,68.43,68.43,68.42,68.42,68.42,68.42,55.67,55.53,55.53,55.53,55.54,55.54,55.54,55.54,55.53,55.53,55.53,55.53,45.73,45.73,45.73,45.73,45.75,45.75,45.76,45.76,45.76,45.76,45.76,45.75,45.75,45.75,45.75,45.75,45.75,45.75,45.75,45.75,37.67,37.67,37.67,37.67,37.68,37.68,37.68,37.68,37.68,37.68,37.68,37.68,37.68,37.68,37.68,37.68,37.68,37.68,37.68,37.68,37.68,37.72,37.72,37.72,37.72
"1995-07",68.68,68.77,68.77,68.77,68.77,68.74,68.74,68.74,68.74,68.76,68.76,68.76,68.76,68.76,68.76,68.76,68.76,68.76,68.76,68.76,68.76,68.78,68.78,68.78,68.79,56.05,55.92,55.92,55.92,55.91,55.91,55.91,55.91,55.91,55.91,55.91,55.91,46.21,46.21,46.21,46.21,46.19,46.19,46.19,46.19,46.19,46.19,46.19,46.19,46.19,46.19,46.19,46.19,46.19,46.19,46.19,46.19,37.99,37.99,37.99,37.99,38.01,38.01,38.01,38.01,38,38,38,38,38.01,38.01,38,37.99,38,38,38,38,38,38,38,38,38
"1995-10",69.09,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.03,69.03,69.03,69.03,69.02,69.02,69.02,69.02,69.04,69.04,69.04,69.04,69.04,69.04,69.04,69.05,56.43,56.3,56.3,56.3,56.31,56.31,56.31,56.31,56.32,56.32,56.32,56.32,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.49,46.49,46.49,46.5,46.48,46.48,46.48,46.48,46.48,46.48,46.48,46.48,38.35,38.35,38.35,38.35,38.37,38.37,38.37,38.37,38.36,38.36,38.36,38.36,38.37,38.37,38.36,38.36,38.36,38.36,38.36,38.36,38.36,38.42,38.42,38.42,38.42
"1996-01",69.9,69.86,69.86,69.86,69.86,69.82,69.82,69.82,69.82,69.82,69.82,69.82,69.82,69.82,69.82,69.82,69.82,69.81,69.81,69.81,69.81,69.8,69.8,69.8,69.79,56.91,56.78,56.78,56.78,56.76,56.76,56.76,56.76,56.76,56.76,56.76,56.76,46.7,46.7,46.7,46.7,46.71,46.71,46.71,46.71,46.72,46.72,46.72,46.71,46.73,46.73,46.73,46.73,46.73,46.73,46.73,46.73,38.5,38.5,38.5,38.5,38.51,38.51,38.51,38.51,38.51,38.51,38.51,38.51,38.51,38.51,38.51,38.51,38.51,38.51,38.51,38.51,38.51,38.55,38.55,38.55,38.55
"1996-04",69.8,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.81,69.81,69.81,69.81,69.82,69.82,69.82,69.82,69.81,69.81,69.81,69.81,69.81,69.81,69.81,69.8,57.2,57.06,57.06,57.06,57.07,57.07,57.07,57.07,57.06,57.06,57.06,57.06,47,47,47,47,47.02,47.02,47.02,47.02,47.02,47.02,47.02,47.02,47.02,47.02,47.02,47.02,47.02,47.02,47.02,47.02,38.8,38.8,38.8,38.8,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81
"1996-07",70.35,70.43,70.43,70.43,70.43,70.4,70.4,70.4,70.4,70.38,70.38,70.38,70.38,70.37,70.37,70.37,70.37,70.39,70.39,70.39,70.39,70.38,70.38,70.38,70.39,57.94,57.8,57.8,57.8,57.8,57.8,57.8,57.8,57.79,57.79,57.79,57.79,47.51,47.51,47.51,47.51,47.51,47.51,47.51,47.51,47.51,47.51,47.51,47.51,47.52,47.52,47.52,47.52,47.51,47.51,47.51,47.51,39.12,39.12,39.12,39.12,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.13,39.14,39.14,39.14,39.14,39.14,39.08,39.08,39.08,39.08
"1996-10",72.87,72.85,72.85,72.85,72.85,72.86,72.86,72.86,72.86,72.87,72.87,72.87,72.87,72.86,72.86,72.86,72.86,72.86,72.86,72.86,72.86,72.89,72.89,72.89,72.89,60.09,59.94,59.94,59.94,59.98,59.98,59.98,59.98,59.99,59.99,59.99,59.99,49.23,49.23,49.23,49.23,49.2,49.2,49.2,49.2,49.18,49.18,49.18,49.2,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,40.59,40.59,40.59,40.59,40.61,40.61,40.61,40.61,40.6,40.6,40.6,40.6,40.61,40.61,40.61,40.6,40.61,40.61,40.61,40.61,40.61,40.58,40.58,40.58,40.58
"1997-01",74.8,74.78,74.78,74.78,74.78,74.81,74.81,74.81,74.81,74.77,74.77,74.77,74.77,74.83,74.83,74.83,74.83,74.79,74.79,74.79,74.79,74.83,74.83,74.83,74.82,61.5,61.36,61.36,61.36,61.33,61.33,61.33,61.33,61.37,61.37,61.37,61.37,50.6,50.6,50.6,50.6,50.64,50.64,50.64,50.64,50.66,50.66,50.66,50.64,50.67,50.67,50.67,50.67,50.66,50.67,50.67,50.67,41.8,41.8,41.8,41.8,41.81,41.81,41.81,41.81,41.81,41.81,41.81,41.81,41.81,41.81,41.81,41.82,41.81,41.81,41.81,41.81,41.81,41.77,41.77,41.77,41.77
"1997-04",75.57,75.58,75.58,75.58,75.58,75.57,75.57,75.57,75.57,75.57,75.57,75.57,75.57,75.57,75.57,75.57,75.57,75.58,75.58,75.58,75.58,75.53,75.53,75.53,75.53,62.12,61.97,61.97,61.97,61.98,61.98,61.98,61.98,61.94,61.94,61.94,61.94,51.14,51.14,51.14,51.14,51.11,51.11,51.11,51.11,51.12,51.12,51.12,51.11,51.11,51.11,51.11,51.11,51.11,51.11,51.11,51.11,42.15,42.15,42.15,42.15,42.16,42.16,42.16,42.16,42.16,42.16,42.16,42.16,42.16,42.16,42.16,42.16,42.16,42.16,42.16,42.16,42.16,42.19,42.19,42.19,42.19
"1997-07",77.5,77.53,77.53,77.53,77.53,77.47,77.47,77.47,77.47,77.43,77.43,77.43,77.43,77.41,77.41,77.41,77.41,77.42,77.42,77.42,77.42,77.42,77.42,77.42,77.43,64.01,63.86,63.86,63.86,63.84,63.84,63.84,63.84,63.85,63.85,63.85,63.85,52.79,52.79,52.79,52.79,52.79,52.79,52.79,52.79,52.79,52.79,52.79,52.79,52.8,52.8,52.8,52.8,52.79,52.79,52.79,52.79,43.55,43.55,43.55,43.55,43.56,43.56,43.56,43.56,43.56,43.56,43.56,43.56,43.56,43.56,43.56,43.56,43.56,43.56,43.56,43.56,43.56,43.58,43.58,43.58,43.58
