"","1995-09-06","1995-12-07","1996-03-07","1996-06-05","1996-09-05","1996-12-04","1997-03-04","1997-06-05","1997-09-10","1997-12-04","1998-02-27","1998-06-04","1998-09-09","1998-12-03","1999-03-04","1999-05-28","1999-06-08","1999-09-09","1999-12-07","2000-03-28","2000-05-30","2000-08-29","2000-11-28","2001-03-01","2001-05-23","2001-08-23","2001-11-22","2002-02-27","2002-05-23","2002-08-22","2002-11-21","2003-02-26","2003-05-22","2003-08-21","2003-11-20","2004-02-19","2004-05-25","2004-08-24","2004-11-23","2005-02-22","2005-05-24","2005-08-23","2005-11-22","2006-02-22","2006-05-23","2006-08-24","2006-11-23","2007-02-22","2007-05-24","2007-08-23","2007-11-22","2008-02-26","2008-05-27","2008-08-26","2008-11-25","2009-02-25","2009-05-26","2009-08-25","2009-11-24","2010-02-24","2010-05-21","2010-08-24","2010-11-23","2011-02-24","2011-05-24","2011-09-01","2011-11-24","2012-02-24","2012-05-24","2012-08-23","2012-11-23","2013-02-22","2013-05-24","2013-08-23","2013-11-22","2014-02-25","2014-05-23","2014-09-01","2014-11-25","2015-02-24","2015-05-22","2015-08-25","2015-11-24","2016-02-23","2016-05-24","2016-08-24","2016-11-24","2017-02-23","2017-05-23","2017-08-25","2017-11-23","2018-02-23","2018-05-24","2018-08-24","2018-11-23","2019-02-22","2019-05-23","2019-08-27","2019-11-22","2020-02-25","2020-05-25","2020-08-25","2020-11-24","2021-02-24","2021-05-25","2021-08-24","2021-11-25","2022-02-25","2022-05-25","2022-08-25","2022-11-25","2023-02-24","2023-05-25","2023-08-25","2023-10-12","2023-11-24","2024-02-23","2024-05-24","2024-08-30","2024-11-22","2025-02-25","2025-05-23"
"1991-01",128.7,128.7,128.7,128.6,128.5,128.4,128.3,128.3,,128.1,127.9,128.1,128.1,128.1,128.2,131.4,67,,,,,,,,,,,67.73,67.73,67.12,67.12,67.12,67.12,67.12,,67.34,67.29,67.33,67.32,67.32,68.8,68.85,68.85,68.85,68.85,68.85,68.85,68.85,68.85,68.84,68.84,68.84,68.84,68.66,68.66,68.66,68.68,67.81,67.81,67.81,67.81,67.71,67.71,67.71,67.71,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.41,67.41,67.41,67.39,68.705,68.705,68.705,68.705,68.59,68.59,68.59,68.562,68.55,68.55,68.553,68.548,68.566,68.566,68.566,68.566,68.542,68.542,68.542,68.542,69.282,69.282,69.282,69.282,69.278,69.278,69.278,69.265,69.639,69.642,69.642,69.642,69.487,69.498,69.498,69.493,69.538,69.538,69.549,69.549,69.549,70.256,70.126,70.126,70.181
"1991-04",140,140,140,140,140,140,140,140,139.4,139.5,139.5,139.4,139.4,139.3,139.3,141.4,72.3,,,,,,,,,,,72.55,72.55,72.55,72.55,72.55,72.55,72.57,,72.53,72.53,72.58,72.57,72.57,73.6,73.63,73.63,73.63,73.63,73.64,73.64,73.64,73.64,73.64,73.64,73.64,73.64,73.66,73.66,73.66,73.69,73.6,73.6,73.6,73.59,73.55,73.55,73.55,73.55,72.54,72.54,72.54,72.54,72.54,72.54,72.54,72.54,72.54,72.54,72.54,72.53,73.912,73.912,73.912,73.912,73.779,73.779,73.779,73.749,73.756,73.756,73.758,73.753,73.717,73.717,73.717,73.717,73.737,73.737,73.737,73.737,74.466,74.466,74.466,74.466,74.49,74.49,74.49,74.464,74.488,74.479,74.479,74.479,74.578,74.567,74.567,74.572,74.513,74.513,74.513,74.513,74.513,75.333,75.243,75.243,75.317
"1991-07",141.6,141.6,141.6,141.8,141.6,141.7,141.8,141.8,141.5,141.5,141.7,141.7,141.7,141.8,141.7,142.7,73,,,,,,,,,,,72.64,72.64,72.95,72.95,72.95,72.95,72.94,72.94,72.85,72.8,72.85,72.85,72.85,73.96,73.88,73.88,73.88,73.88,73.86,73.86,73.86,73.86,73.87,73.87,73.87,73.87,73.98,73.98,73.98,73.93,73.87,73.87,73.87,73.86,73.8,73.8,73.8,73.8,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,73.893,73.893,73.893,73.893,73.758,73.758,73.758,73.867,73.865,73.865,73.867,73.872,73.881,73.881,73.881,73.881,73.874,73.874,73.874,73.874,74.673,74.673,74.673,74.673,74.677,74.677,74.677,74.674,74.876,74.879,74.879,74.879,74.861,74.94,74.94,74.935,74.92,74.92,74.909,74.909,74.909,75.656,75.541,75.541,75.621
"1991-10",146.7,146.7,146.7,146.6,146.6,146.6,146.7,146.7,147.7,147.7,147.6,147.5,147.5,147.5,147.5,148.5,75.9,,,,,,,,,,,75.44,75.44,75.74,75.74,75.74,75.74,75.74,75.74,75.64,75.74,75.61,75.62,75.62,76.24,76.24,76.24,76.24,76.24,76.25,76.25,76.25,76.25,76.25,76.25,76.25,76.25,76.3,76.3,76.3,76.3,77.33,77.33,77.33,77.34,77.53,77.53,77.53,77.53,76.27,76.27,76.27,76.27,76.27,76.27,76.27,76.27,76.35,76.35,76.35,76.38,77.055,77.055,77.055,77.055,76.879,76.879,76.879,76.828,76.835,76.835,76.827,76.832,76.841,76.841,76.841,76.841,76.852,76.852,76.852,76.852,77.758,77.758,77.758,77.758,77.734,77.734,77.734,77.776,77.176,77.179,77.179,77.179,77.254,77.173,77.173,77.179,77.208,77.208,77.208,77.208,77.208,78.168,78.504,78.504,78.295
"1992-01",148.7,148.7,148.7,148.7,148.6,148.6,148.3,148.3,148.1,148.1,147.9,148.2,148.2,148.2,148.3,150.6,76.8,77.2,77.1,77.2,77,77.01,,,,,,77.23,77.23,76.6,76.6,76.6,76.6,76.62,76.62,76.8,76.76,76.79,76.79,76.79,78.07,78.15,78.15,78.15,78.15,78.14,78.14,78.14,78.14,78.14,78.14,78.14,78.14,78.03,78.03,78.03,78.04,77.12,77.12,77.12,77.12,77.03,77.03,77.03,77.02,75.92,75.92,75.92,75.92,75.93,75.93,75.93,75.93,75.83,75.83,75.83,75.8,77.281,77.281,77.281,77.281,77.115,77.115,77.115,77.082,77.083,77.083,77.072,77.072,77.091,77.091,77.091,77.091,77.061,77.061,77.061,77.061,78.178,78.178,78.178,78.178,78.173,78.173,78.173,78.173,78.532,78.543,78.543,78.543,78.382,78.393,78.393,78.391,78.454,78.454,78.465,78.465,78.465,79.337,79.208,79.208,79.273
"1992-04",151.6,151.6,151.6,151.6,151.5,151.6,151.6,151.6,151,151,151.2,151,151,150.9,150.9,153.3,78.5,78.4,78.5,78.2,78.54,78.63,,,,,,78.56,78.56,78.63,78.63,78.63,78.63,78.64,78.64,78.57,78.59,78.63,78.62,78.62,79.35,79.35,79.35,79.35,79.35,79.35,79.35,79.35,79.35,79.35,79.35,79.35,79.35,79.37,79.37,79.37,79.39,79.33,79.33,79.33,79.32,79.3,79.3,79.3,79.3,78.45,78.45,78.45,78.45,78.45,78.45,78.45,78.45,78.44,78.44,78.44,78.42,79.933,79.933,79.933,79.933,79.772,79.772,79.772,79.738,79.749,79.749,79.748,79.748,79.71,79.71,79.71,79.71,79.736,79.736,79.736,79.736,80.865,80.865,80.865,80.865,80.89,80.89,80.89,80.867,80.869,80.869,80.869,80.869,80.979,80.968,80.968,80.965,80.895,80.895,80.895,80.895,80.895,81.808,81.733,81.733,81.807
"1992-07",157.8,157.8,157.8,157.9,157.6,157.7,157.8,157.8,157.2,157.3,157.8,157.7,157.7,157.8,157.7,159,81.3,81.1,81.2,81.2,81.22,81.08,,,,,,80.93,80.93,81.18,81.18,81.18,81.18,81.16,81.16,81.11,81.07,81.09,81.09,81.09,82.04,81.98,81.98,81.98,81.98,81.97,81.97,81.97,81.97,81.97,81.97,81.97,81.97,82.01,82.01,82.01,81.98,82.03,82.03,82.03,82,81.96,81.96,81.96,81.94,80.75,80.75,80.75,80.75,80.74,80.74,80.74,80.74,80.73,80.73,80.73,80.71,82.162,82.162,82.162,82.162,82.003,82.003,82.003,82.115,82.105,82.105,82.116,82.116,82.125,82.125,82.125,82.125,82.114,82.114,82.114,82.114,83.211,83.211,83.211,83.211,83.227,83.227,83.227,83.203,83.426,83.414,83.414,83.414,83.403,83.486,83.486,83.484,83.47,83.47,83.459,83.459,83.459,84.336,84.215,84.215,84.29
"1992-10",159.1,159.1,159.1,159.1,158.5,158.4,158.5,158.5,160,159.9,159.5,159.5,159.4,159.4,159.5,160.8,82.2,82.1,82,82.2,82.08,82.13,,,,,,82.16,82.16,82.47,82.47,82.47,82.47,82.46,82.46,82.4,82.47,82.37,82.38,82.38,82.91,82.91,82.91,82.91,82.91,82.91,82.91,82.91,82.91,82.91,82.91,82.91,82.91,82.96,82.96,82.96,82.97,83.9,83.9,83.9,83.94,84.09,84.09,84.09,84.12,82.98,82.98,82.98,82.98,82.98,82.98,82.98,82.98,83.1,83.1,83.1,83.17,83.904,83.904,83.904,83.904,83.708,83.708,83.708,83.662,83.662,83.662,83.662,83.662,83.672,83.672,83.672,83.672,83.688,83.688,83.688,83.688,84.902,84.902,84.902,84.902,84.864,84.864,84.864,84.912,84.329,84.329,84.329,84.329,84.391,84.308,84.308,84.315,84.336,84.336,84.336,84.336,84.336,85.559,85.886,85.886,85.67
"1993-01",156.7,156.7,156.7,156.7,157.9,157.9,157.8,157.8,157.2,157.4,157.2,157.5,157.6,157.6,157.6,158.9,81.1,81.6,81.5,81.6,81.32,81.32,,,,,,81.35,81.35,80.82,80.82,80.82,80.82,80.87,80.87,80.98,80.94,80.97,80.96,80.96,82.43,82.44,82.44,82.44,82.44,82.44,82.44,82.44,82.44,82.44,82.44,82.44,82.44,82.37,82.37,82.37,82.38,81.6,81.6,81.6,81.57,81.51,81.51,81.51,81.49,80.48,80.48,80.48,80.48,80.49,80.49,80.49,80.49,80.37,80.37,80.37,80.33,82.081,82.081,82.081,82.081,81.888,81.888,81.888,81.864,81.859,81.859,81.859,81.856,81.871,81.871,81.871,81.871,81.844,81.844,81.844,81.844,82.815,82.815,82.808,82.808,82.815,82.815,82.815,82.812,83.111,83.122,83.122,83.122,82.976,82.994,82.994,82.994,83.043,83.043,83.064,83.064,83.064,84.119,83.99,83.99,84.049
"1993-04",158.7,158.7,158.7,158.7,159.5,159.5,159.5,159.5,159.3,159.2,159.2,159,159,158.9,158.9,161,82.4,82.3,82.4,82.2,82.52,82.59,82.58,,,,,82.5,82.5,82.61,82.61,82.61,82.61,82.6,82.6,82.51,82.54,82.56,82.55,82.55,83.34,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.34,83.34,83.34,83.33,83.34,83.34,83.34,83.31,83.31,83.31,83.31,83.28,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.32,84.183,84.183,84.183,84.183,84.005,84.005,84.005,83.98,83.985,83.985,83.985,83.983,83.949,83.949,83.949,83.949,83.972,83.972,83.972,83.972,85.174,85.174,85.181,85.181,85.195,85.195,85.195,85.179,85.176,85.176,85.176,85.176,85.264,85.27,85.27,85.27,85.173,85.173,85.182,85.182,85.182,86.226,86.175,86.175,86.232
